date,upwind_station_count,upwind_selected_station_codes,upwind_mean_lag_days,upwind_total_weight
2019-01-01,1,A045,0.0,0.48265073839420847
2019-01-02,4,A047|A542|A544|A548,0.75,1.7446778857248142
2019-01-03,5,A017|A045|A544|A548|A559,1.0,2.0739191707790035
2019-01-04,5,A010|A017|A024|A032|A045,1.4,1.7026360623752645
2019-01-05,12,A036|A047|A056|A523|A528|A542|A545|A546|A547|A553|A562|A571,1.9166666666666667,2.71307367334167
2019-01-06,4,A010|A017|A024|A032,1.5,1.4582867623051978
2019-01-07,5,A010|A017|A024|A032|A045,1.2,1.7996150572912697
2019-01-08,6,A045|A544|A545|A547|A548|A559,1.1666666666666667,2.6400116302415593
2019-01-09,5,A045|A544|A547|A548|A559,0.8,3.0836807318005386
2019-01-10,6,A045|A544|A545|A547|A548|A559,1.1666666666666667,2.586709636807355
2019-01-11,8,A047|A528|A542|A544|A545|A547|A548|A559,1.5,2.605186081791741
2019-01-12,14,A012|A033|A034|A036|A047|A056|A507|A523|A528|A542|A546|A553|A562|A571,1.2142857142857142,4.698522449252764
2019-01-13,7,A047|A542|A544|A545|A547|A548|A559,1.2857142857142858,2.8287835811695747
2019-01-14,5,A544|A545|A547|A548|A559,1.6,1.8508252349461682
2019-01-15,6,A017|A045|A544|A547|A548|A559,1.5,2.0612263978321175
2019-01-16,6,A017|A045|A544|A547|A548|A559,1.1666666666666667,2.122581905689857
2019-01-17,8,A047|A528|A542|A545|A547|A553|A559|A571,1.5,2.9706246555975757
2019-01-18,11,A036|A047|A056|A523|A528|A542|A545|A546|A553|A562|A571,1.2727272727272727,4.347559960255026
2019-01-19,8,A047|A528|A542|A545|A547|A553|A559|A571,1.5,2.7715407999424784
2019-01-20,8,A047|A528|A542|A544|A545|A547|A548|A559,1.875,2.0285535438328104
2019-01-21,10,A047|A056|A528|A542|A545|A546|A547|A553|A562|A571,1.3,3.7064588952917132
2019-01-22,9,A047|A528|A542|A544|A545|A547|A553|A559|A571,1.2222222222222223,3.8210578376593376
2019-01-23,7,A047|A542|A544|A545|A547|A548|A559,1.1428571428571428,3.2191513898842006
2019-01-24,7,A047|A542|A544|A545|A547|A548|A559,1.1428571428571428,2.8956488906949147
2019-01-25,5,A005|A010|A022|A042|A054,1.4,1.9342601748587702
2019-01-26,5,A544|A545|A547|A548|A559,1.6,1.5642394568419542
2019-01-27,9,A047|A528|A542|A544|A545|A547|A548|A553|A559,1.2222222222222223,3.659003688787453
2019-01-28,7,A047|A542|A544|A545|A547|A548|A559,0.8571428571428571,3.8672270179093657
2019-01-29,9,A047|A528|A542|A544|A545|A547|A548|A553|A559,1.1111111111111112,4.276662912891602
2019-01-30,9,A047|A528|A542|A544|A545|A547|A548|A553|A559,1.2222222222222223,4.079453908606404
2019-01-31,8,A047|A528|A542|A544|A545|A547|A548|A559,1.125,3.876877779245171
2019-02-01,9,A047|A528|A542|A544|A545|A547|A548|A553|A559,1.4444444444444444,3.2658027800272773
2019-02-02,7,A047|A542|A544|A545|A547|A548|A559,1.2857142857142858,2.46844968776206
2019-02-03,11,A036|A047|A056|A523|A528|A542|A545|A546|A553|A562|A571,1.2727272727272727,4.643666504327296
2019-02-04,12,A002|A003|A012|A025|A027|A028|A029|A033|A035|A037|A046|A512,1.1666666666666667,5.151240109868024
2019-02-05,10,A047|A528|A542|A544|A545|A547|A548|A553|A559|A571,1.4,3.5877177764642063
2019-02-06,4,A010|A017|A024|A032,2.0,1.0528429220283542
2019-02-07,5,A017|A045|A544|A548|A559,1.6,1.3389284477957042
2019-02-08,5,A010|A017|A024|A032|A045,1.6,1.328727352226491
2019-02-09,8,A047|A528|A542|A544|A545|A547|A548|A559,1.5,2.5445411241672544
2019-02-10,6,A005|A010|A017|A024|A032|A054,1.8333333333333333,1.6215043742197923
2019-02-11,6,A017|A032|A045|A544|A548|A559,1.5,1.954201551390393
2019-02-12,12,A036|A047|A056|A523|A528|A542|A545|A546|A547|A553|A562|A571,1.9166666666666667,2.9351008523929973
2019-02-13,13,A012|A033|A034|A035|A036|A056|A507|A512|A523|A546|A553|A562|A571,2.0,3.193019320698573
2019-02-14,12,A012|A033|A034|A035|A036|A056|A507|A512|A523|A546|A562|A571,1.3333333333333333,4.143083087236335
2019-02-15,4,A014|A015|A022|A042,0.75,1.8260229698867991
2019-02-16,5,A005|A015|A022|A042|A054,1.0,2.682041881882042
2019-02-17,5,A005|A015|A022|A042|A054,0.6,3.281874562454271
2019-02-18,4,A005|A010|A042|A054,1.0,1.9676201360508891
2019-02-19,5,A005|A015|A022|A042|A054,1.2,1.8446370417095697
2019-02-20,5,A005|A015|A022|A042|A054,1.2,1.8933293105918931
2019-02-21,5,A005|A010|A024|A032|A054,2.0,1.327256591879661
2019-02-22,6,A045|A544|A545|A547|A548|A559,1.3333333333333333,2.3300041180516122
2019-02-23,5,A010|A017|A024|A032|A045,1.2,2.065968246505525
2019-02-24,5,A005|A010|A024|A032|A054,1.8,1.4628724082327473
2019-02-25,8,A002|A014|A025|A027|A028|A029|A037|A046,1.75,1.9556124534838641
2019-02-26,5,A005|A015|A022|A042|A054,1.2,2.19667431431281
2019-02-27,5,A005|A015|A022|A042|A054,1.4,1.5885560870303437
2019-02-28,5,A005|A015|A022|A042|A054,1.4,1.6048197857027766
2019-03-01,6,A005|A010|A017|A024|A032|A054,1.6666666666666667,1.8912356589862964
2019-03-02,5,A005|A015|A022|A042|A054,1.2,2.0025677135589874
2019-03-03,4,A017|A024|A032|A045,1.25,1.2712093242656395
2019-03-04,4,A010|A017|A024|A032,2.0,1.0639124981456152
2019-03-05,8,A047|A528|A542|A545|A547|A553|A562|A571,1.5,2.8125766126012013
2019-03-06,6,A045|A544|A545|A547|A548|A559,1.3333333333333333,2.311741892211604
2019-03-07,5,A017|A045|A544|A548|A559,1.6,1.6012191149765485
2019-03-08,12,A036|A047|A056|A523|A528|A542|A545|A546|A547|A553|A562|A571,1.3333333333333333,3.8345955933457425
2019-03-09,8,A047|A528|A542|A545|A547|A553|A562|A571,1.25,3.4425458116338596
2019-03-10,7,A047|A542|A544|A545|A547|A548|A559,1.7142857142857142,2.0714709261673825
2019-03-11,6,A017|A045|A544|A547|A548|A559,1.1666666666666667,2.2987067077852616
2019-03-12,6,A017|A045|A544|A547|A548|A559,1.1666666666666667,2.15322925061931
2019-03-13,5,A014|A015|A022|A028|A042,1.6,1.4311405510891928
2019-03-14,11,A036|A047|A056|A523|A528|A542|A545|A546|A553|A562|A571,1.2727272727272727,3.6372396832186737
2019-03-15,8,A047|A528|A542|A544|A545|A547|A548|A559,1.875,2.048159331270195
2019-03-16,12,A034|A036|A047|A056|A523|A528|A542|A545|A546|A553|A562|A571,1.3333333333333333,3.9715313177290326
2019-03-17,4,A005|A010|A024|A054,2.25,0.8734995240885475
2019-03-18,12,A002|A003|A012|A025|A027|A028|A029|A033|A035|A037|A046|A512,1.75,2.569624769917049
2019-03-19,9,A002|A014|A015|A022|A025|A027|A028|A029|A046,1.7777777777777777,2.08719029654204
2019-03-20,13,A003|A012|A033|A034|A035|A036|A056|A507|A512|A523|A546|A562|A571,2.0,3.440247783821762
2019-03-21,8,A002|A014|A025|A027|A028|A029|A037|A046,1.375,2.900424406196979
2019-03-22,5,A014|A015|A022|A028|A042,1.6,1.2775115859097093
2019-03-23,8,A047|A528|A542|A544|A545|A547|A548|A559,1.375,3.0946192789318827
2019-03-24,8,A047|A528|A542|A544|A545|A547|A548|A559,0.875,4.033245691532761
2019-03-25,9,A047|A528|A542|A544|A545|A547|A548|A553|A559,1.1111111111111112,4.298776721594221
2019-03-26,6,A045|A544|A545|A547|A548|A559,0.8333333333333334,3.158219999936551
2019-03-27,5,A544|A545|A547|A548|A559,1.4,1.9632264994633244
2019-03-28,7,A047|A542|A544|A545|A547|A548|A559,0.8571428571428571,3.859126162470525
2019-03-29,9,A047|A528|A542|A544|A545|A547|A548|A553|A559,0.7777777777777778,4.846032832004075
2019-03-30,8,A047|A528|A542|A544|A545|A547|A548|A559,1.25,3.6097827984938036
2019-03-31,6,A045|A544|A545|A547|A548|A559,1.3333333333333333,2.0321729465825094
2019-04-01,5,A017|A045|A544|A548|A559,1.6,1.5940131856664388
2019-04-02,5,A017|A024|A032|A045|A548,1.4,1.4231249712713292
2019-04-03,5,A005|A015|A022|A042|A054,1.6,1.3301478033726668
2019-04-04,5,A005|A015|A022|A042|A054,1.4,1.648428969388526
2019-04-05,6,A005|A010|A015|A022|A042|A054,1.3333333333333333,2.1681293088531546
2019-04-06,5,A017|A045|A544|A548|A559,1.6,1.2935752062465937
2019-04-07,6,A017|A045|A544|A547|A548|A559,1.6666666666666667,1.3630289480436848
2019-04-08,12,A002|A003|A012|A025|A029|A033|A034|A035|A037|A046|A507|A512,1.75,2.327052072748583
2019-04-09,9,A002|A003|A014|A025|A027|A028|A029|A037|A046,1.7777777777777777,1.7557489139487548
2019-04-10,11,A036|A047|A056|A523|A528|A542|A545|A546|A553|A562|A571,1.9090909090909092,2.4503620892792264
