station_code,start_date,end_date,observed_days,expected_days,missing_days,missing_pct
A001,2019-01-01,2024-12-31,2192,2192,0,0.0
A002,2019-01-01,2024-12-31,2192,2192,0,0.0
A003,2019-01-01,2024-12-31,2192,2192,0,0.0
A005,2019-01-01,2024-12-31,2192,2192,0,0.0
A009,2019-01-01,2024-12-31,2192,2192,0,0.0
A010,2019-01-01,2024-12-31,2192,2192,0,0.0
A011,2019-01-01,2024-12-31,2192,2192,0,0.0
A012,2019-01-01,2024-12-31,2192,2192,0,0.0
A013,2019-01-01,2024-12-31,2192,2192,0,0.0
A014,2019-01-01,2024-12-31,2192,2192,0,0.0
A015,2019-01-01,2024-12-31,2192,2192,0,0.0
A016,2019-01-01,2024-12-31,2192,2192,0,0.0
A017,2019-01-01,2024-12-31,2192,2192,0,0.0
A018,2019-01-01,2024-12-31,2192,2192,0,0.0
A019,2019-01-01,2024-12-31,2192,2192,0,0.0
A020,2019-01-01,2024-12-31,2192,2192,0,0.0
A021,2019-01-01,2024-12-31,2192,2192,0,0.0
A022,2019-01-01,2024-12-31,2192,2192,0,0.0
A023,2019-01-01,2024-12-31,2192,2192,0,0.0
A024,2019-01-01,2024-12-31,2192,2192,0,0.0
A025,2019-01-01,2024-12-31,2192,2192,0,0.0
A026,2019-01-01,2024-12-31,2192,2192,0,0.0
A027,2019-01-01,2024-12-31,2192,2192,0,0.0
A028,2019-01-01,2024-12-31,2192,2192,0,0.0
A029,2019-01-01,2024-12-31,2192,2192,0,0.0
A031,2019-01-01,2024-12-31,2192,2192,0,0.0
A032,2019-01-01,2024-12-31,2192,2192,0,0.0
A033,2019-01-01,2024-12-31,2192,2192,0,0.0
A034,2019-01-01,2024-12-31,2192,2192,0,0.0
A035,2019-01-01,2024-12-31,2192,2192,0,0.0
A036,2019-01-01,2024-12-31,2192,2192,0,0.0
A037,2019-01-01,2024-12-31,2192,2192,0,0.0
A038,2019-01-01,2024-12-31,2192,2192,0,0.0
A039,2019-01-01,2024-12-31,2192,2192,0,0.0
A040,2019-01-01,2024-12-31,2192,2192,0,0.0
A041,2019-01-01,2024-12-31,2192,2192,0,0.0
A042,2019-01-01,2024-12-31,2192,2192,0,0.0
A043,2019-01-01,2024-12-31,2192,2192,0,0.0
A044,2019-01-01,2024-12-31,2192,2192,0,0.0
A045,2019-01-01,2024-12-31,2192,2192,0,0.0
A046,2019-01-01,2024-12-31,2192,2192,0,0.0
A047,2019-01-01,2024-12-31,2192,2192,0,0.0
A048,2019-01-01,2024-12-31,2192,2192,0,0.0
A049,2019-01-01,2024-12-31,2192,2192,0,0.0
A050,2019-01-01,2024-12-31,2192,2192,0,0.0
A051,2019-01-01,2024-12-31,2192,2192,0,0.0
A052,2019-01-01,2024-12-31,2192,2192,0,0.0
A053,2019-01-01,2024-12-31,2192,2192,0,0.0
A054,2019-01-01,2024-12-31,2192,2192,0,0.0
A055,2019-01-01,2024-12-31,2192,2192,0,0.0
A056,2019-01-01,2024-12-31,2192,2192,0,0.0
A101,2019-01-01,2024-12-31,2192,2192,0,0.0
A102,2019-01-01,2024-12-31,2192,2192,0,0.0
A104,2019-01-01,2024-12-31,2192,2192,0,0.0
A108,2019-01-01,2024-12-31,2192,2192,0,0.0
A109,2019-01-01,2024-12-31,2192,2192,0,0.0
A110,2019-01-01,2024-12-31,2192,2192,0,0.0
A111,2019-01-01,2024-12-31,2192,2192,0,0.0
A112,2019-01-01,2024-12-31,2192,2192,0,0.0
A113,2019-01-01,2024-12-31,2192,2192,0,0.0
A117,2019-01-01,2024-12-31,2192,2192,0,0.0
A119,2019-01-01,2024-12-31,2192,2192,0,0.0
A120,2019-01-01,2024-12-31,2192,2192,0,0.0
A121,2019-01-01,2024-12-31,2192,2192,0,0.0
A122,2019-01-01,2024-12-31,2192,2192,0,0.0
A123,2019-01-01,2024-12-31,2192,2192,0,0.0
A124,2019-01-01,2024-12-31,2192,2192,0,0.0
A125,2019-01-01,2024-12-31,2192,2192,0,0.0
A126,2019-01-01,2024-12-31,2192,2192,0,0.0
A128,2019-01-01,2024-12-31,2192,2192,0,0.0
A133,2019-01-01,2024-12-31,2192,2192,0,0.0
A134,2019-01-01,2024-12-31,2192,2192,0,0.0
A135,2019-01-01,2024-12-31,2192,2192,0,0.0
A136,2019-01-01,2024-12-31,2192,2192,0,0.0
A137,2019-01-01,2024-12-31,2192,2192,0,0.0
A138,2019-01-01,2024-12-31,2192,2192,0,0.0
A140,2019-01-01,2024-12-31,2192,2192,0,0.0
A144,2019-07-18,2024-12-31,1994,1994,0,0.0
A201,2019-01-01,2024-12-31,2192,2192,0,0.0
A202,2019-01-01,2024-12-31,2192,2192,0,0.0
A203,2019-01-01,2024-12-31,2192,2192,0,0.0
A204,2019-01-01,2024-12-31,2192,2192,0,0.0
A205,2019-01-01,2024-12-31,2192,2192,0,0.0
A206,2019-01-01,2024-12-31,2192,2192,0,0.0
A207,2019-01-01,2024-12-31,2192,2192,0,0.0
A209,2019-01-01,2024-12-31,2192,2192,0,0.0
A210,2019-01-01,2024-12-31,2192,2192,0,0.0
A211,2019-01-01,2024-12-31,2192,2192,0,0.0
A212,2019-01-01,2024-12-31,2192,2192,0,0.0
A213,2019-01-01,2024-12-31,2192,2192,0,0.0
A214,2019-01-01,2024-12-31,2192,2192,0,0.0
A215,2019-01-01,2024-12-31,2192,2192,0,0.0
A216,2019-01-01,2024-12-31,2192,2192,0,0.0
A217,2019-01-01,2024-12-31,2192,2192,0,0.0
A218,2019-01-01,2024-12-31,2192,2192,0,0.0
A219,2019-01-01,2024-12-31,2192,2192,0,0.0
A220,2019-01-01,2024-12-31,2192,2192,0,0.0
A221,2019-01-01,2024-12-31,2192,2192,0,0.0
A222,2019-01-01,2024-12-31,2192,2192,0,0.0
A223,2019-01-01,2024-12-31,2192,2192,0,0.0
A224,2019-01-01,2024-12-31,2192,2192,0,0.0
A225,2019-01-01,2024-12-31,2192,2192,0,0.0
A226,2019-01-01,2024-12-31,2192,2192,0,0.0
A227,2019-01-01,2024-12-31,2192,2192,0,0.0
A228,2019-01-01,2024-12-31,2192,2192,0,0.0
A229,2019-01-01,2024-12-31,2192,2192,0,0.0
A230,2019-01-01,2024-12-31,2192,2192,0,0.0
A231,2019-01-01,2024-12-31,2192,2192,0,0.0
A232,2019-01-01,2024-12-31,2192,2192,0,0.0
A233,2019-01-01,2024-12-31,2192,2192,0,0.0
A234,2019-01-01,2024-12-31,2192,2192,0,0.0
A235,2019-01-01,2024-12-31,2192,2192,0,0.0
A236,2019-01-01,2024-12-31,2192,2192,0,0.0
A237,2019-01-01,2024-12-31,2192,2192,0,0.0
A238,2019-01-01,2024-12-31,2192,2192,0,0.0
A239,2019-01-01,2024-12-31,2192,2192,0,0.0
A240,2019-01-01,2024-12-31,2192,2192,0,0.0
A241,2019-01-01,2024-12-31,2192,2192,0,0.0
A242,2019-01-01,2024-12-31,2192,2192,0,0.0
A244,2019-01-01,2024-12-31,2192,2192,0,0.0
A246,2019-01-01,2024-12-31,2192,2192,0,0.0
A247,2019-01-01,2024-12-31,2192,2192,0,0.0
A248,2019-01-01,2024-12-31,2192,2192,0,0.0
A249,2019-01-01,2024-12-31,2192,2192,0,0.0
A250,2019-01-01,2024-12-31,2192,2192,0,0.0
A251,2019-01-01,2024-12-31,2192,2192,0,0.0
A252,2019-01-01,2024-12-31,2192,2192,0,0.0
A253,2019-01-01,2024-12-31,2192,2192,0,0.0
A254,2019-07-11,2024-12-31,2001,2001,0,0.0
A255,2019-09-18,2024-12-31,1932,1932,0,0.0
A301,2019-01-01,2023-12-31,1826,1826,0,0.0
A302,2019-01-01,2020-12-31,731,731,0,0.0
A303,2019-01-01,2024-12-31,2192,2192,0,0.0
A304,2019-01-01,2024-12-31,2192,2192,0,0.0
A305,2019-01-01,2024-12-31,2192,2192,0,0.0
A306,2019-01-01,2024-12-31,2192,2192,0,0.0
A307,2019-01-01,2024-12-31,2192,2192,0,0.0
A308,2019-01-01,2024-12-31,2192,2192,0,0.0
A309,2019-01-01,2024-12-31,2192,2192,0,0.0
A310,2019-01-01,2024-12-31,2192,2192,0,0.0
A311,2019-01-01,2024-12-31,2192,2192,0,0.0
A312,2019-01-01,2024-12-31,2192,2192,0,0.0
A313,2019-01-01,2024-12-31,2192,2192,0,0.0
A314,2019-01-01,2024-12-31,2192,2192,0,0.0
A315,2019-01-01,2024-12-31,2192,2192,0,0.0
A316,2019-01-01,2024-12-31,2192,2192,0,0.0
A317,2019-01-01,2024-12-31,2192,2192,0,0.0
A318,2019-01-01,2024-12-31,2192,2192,0,0.0
A319,2019-01-01,2024-12-31,2192,2192,0,0.0
A320,2019-01-01,2024-12-31,2192,2192,0,0.0
A321,2019-01-01,2024-12-31,2192,2192,0,0.0
A322,2019-01-01,2024-12-31,2192,2192,0,0.0
