data;umidade_observada;umidade_prevista
2023-10-20;44.44;44.253
2023-10-21;65.043;49.011
2023-10-22;65.6;53.006
2023-10-23;49.571;55.779
2023-10-24;57.854;58.343
2023-10-25;60.615;60.144
2023-10-26;66.733;61.997
2023-10-27;70.84;63.326
2023-10-28;79.772;64.817
2023-10-29;65.648;65.911
2023-10-30;58.511;67.2
2023-10-31;63.129;68.16
2023-11-01;66.022;69.31
2023-11-02;74.767;70.168
2023-11-03;78.774;71.193
2023-11-04;77.133;71.946
2023-11-05;76.606;72.84
2023-11-06;68.115;73.475
2023-11-07;61.479;74.224
2023-11-08;54.74;74.725
2023-11-09;35.562;75.316
2023-11-10;34.532;75.673
2023-11-11;35.389;76.102
2023-11-12;39.44;76.312
2023-11-13;50.868;76.582
2023-11-14;45.064;76.653
2023-11-15;47.809;76.777
2023-11-16;51.766;76.724
2023-11-17;57.14;76.726
2023-11-18;64.077;76.574
2023-11-19;59.169;76.48
2023-11-20;81.462;76.26
2023-11-21;79.744;76.105
2023-11-22;77.835;75.85
2023-11-23;72.222;75.668
2023-11-24;70.089;75.411
2023-11-25;70.452;75.236
2023-11-26;66.043;75.008
2023-11-27;79.886;74.869
2023-11-28;68.835;74.696
2023-11-29;65.484;74.616
2023-11-30;68.44;74.517
2023-12-01;73.088;74.511
2023-12-02;72.352;74.495
2023-12-03;78.867;74.57
2023-12-04;78.27;74.64
2023-12-05;80.901;74.793
2023-12-06;71.489;74.942
2023-12-07;54.626;75.164
2023-12-08;44.978;75.377
2023-12-09;50.978;75.651
2023-12-10;50.902;75.911
2023-12-11;70.37;76.216
2023-12-12;74.82;76.498
2023-12-13;64.78;76.811
2023-12-14;48.587;77.092
2023-12-15;37.793;77.389
2023-12-16;38.149;77.645
2023-12-17;47.421;77.904
2023-12-18;58.135;78.116
2023-12-19;71.717;78.319
2023-12-20;78.593;78.469
2023-12-21;88.191;78.602
2023-12-22;80.602;78.679
2023-12-23;78.719;78.735
2023-12-24;75.719;78.734
2023-12-25;72.143;78.709
2023-12-26;72.36;78.63
2023-12-27;70.281;78.528
2023-12-28;74.659;78.376
2023-12-29;72.6;78.204
2023-12-30;79.289;77.989
2023-12-31;79.883;77.758
2024-01-01;77.875;77.491
2024-01-02;85.969;77.215
2024-01-03;90.333;76.913
2024-01-04;90.458;76.607
2024-01-05;89.882;76.283
2024-01-06;80.853;75.963
2024-01-07;79.745;75.633
2024-01-08;86.253;75.313
2024-01-09;81.309;74.991
2024-01-10;86.526;74.685
2024-01-11;81.67;74.384
2024-01-12;73.38;74.104
2024-01-13;78.163;73.835
2024-01-14;82.266;73.592
2024-01-15;79.247;73.364
2024-01-16;74.263;73.165
2024-01-17;64.726;72.986
2024-01-18;68.441;72.839
2024-01-19;69.5;72.714
2024-01-20;66.447;72.623
2024-01-21;74.032;72.558
2024-01-22;81.714;72.527
2024-01-23;82.229;72.524
2024-01-24;86.204;72.555
2024-01-25;84.17;72.615
2024-01-26;86.677;72.709
2024-01-27;80.859;72.832
2024-01-28;84.537;72.988
2024-01-29;80.054;73.172
2024-01-30;78.301;73.387
2024-01-31;83.926;73.627
2024-02-01;79.606;73.896
2024-02-02;74.57;74.187
2024-02-03;74.287;74.502
2024-02-04;71.505;74.834
2024-02-05;79.862;75.185
2024-02-06;82.14;75.547
2024-02-07;77.347;75.921
2024-02-08;82.14;76.301
2024-02-09;81.849;76.684
2024-02-10;88.4;77.064
2024-02-11;90.723;77.44
2024-02-12;76.915;77.805
2024-02-13;62.692;78.158
2024-02-14;61.179;78.491
2024-02-15;68.667;78.803
2024-02-16;78.457;79.088
2024-02-17;82.656;79.345
2024-02-18;83.609;79.569
2024-02-19;85.968;79.757
2024-02-20;91.916;79.907
2024-02-21;89.095;80.018
2024-02-22;82.396;80.088
2024-02-23;83.16;80.116
2024-02-24;76.33;80.101
2024-02-25;72.375;80.045
2024-02-26;64.611;79.948
2024-02-27;62.5;79.812
2024-02-28;63.096;79.639
2024-02-29;64.011;79.431
2024-03-01;74.404;79.192
2024-03-02;79.404;78.926
2024-03-03;83.108;78.634
2024-03-04;85.156;78.324
2024-03-05;79.979;77.997
2024-03-06;79.312;77.66
2024-03-07;75.699;77.315
2024-03-08;70.872;76.969
2024-03-09;75.432;76.624
2024-03-10;81.063;76.286
2024-03-11;78.842;75.958
2024-03-12;78.149;75.644
2024-03-13;81.191;75.346
2024-03-14;83.333;75.068
2024-03-15;74.84;74.811
2024-03-16;73.376;74.579
2024-03-17;80.947;74.371
2024-03-18;78.516;74.19
2024-03-19;78.979;74.035
2024-03-20;81.463;73.906
2024-03-21;80.147;73.803
2024-03-22;79.188;73.725
2024-03-23;88.271;73.67
2024-03-24;82.635;73.638
2024-03-25;83.177;73.626
2024-03-26;81.946;73.632
2024-03-27;84.615;73.654
2024-03-28;86.684;73.691
2024-03-29;80.211;73.738
2024-03-30;80.553;73.795
2024-03-31;79.74;73.859
2024-04-01;78.01;73.928
2024-04-02;85.844;74.0
2024-04-03;83.229;74.072
2024-04-04;87.126;74.143
2024-04-05;80.75;74.211
2024-04-06;83.635;74.274
2024-04-07;81.042;74.331
2024-04-08;73.354;74.381
2024-04-09;70.833;74.422
2024-04-10;79.75;74.454
2024-04-11;86.938;74.475
2024-04-12;84.635;74.484
2024-04-13;75.542;74.481
2024-04-14;71.135;74.464
2024-04-15;71.479;74.432
2024-04-16;73.49;74.386
2024-04-17;70.25;74.323
2024-04-18;68.479;74.244
2024-04-19;73.75;74.147
2024-04-20;71.531;74.031
2024-04-21;71.781;73.896
2024-04-22;71.948;73.742
2024-04-23;70.375;73.566
2024-04-24;73.229;73.37
2024-04-25;68.583;73.153
2024-04-26;67.26;72.914
2024-04-27;64.74;72.653
2024-04-28;66.646;72.372
2024-04-29;65.719;72.07
2024-04-30;63.229;71.749
2024-05-01;63.26;71.409
2024-05-02;62.229;71.052
2024-05-03;63.896;70.679
2024-05-04;56.427;70.294
2024-05-05;63.99;69.898
2024-05-06;70.198;69.494
2024-05-07;70.729;69.085
2024-05-08;67.865;68.674
2024-05-09;65.684;68.265
2024-05-10;67.104;67.859
2024-05-11;63.542;67.462
2024-05-12;59.323;67.076
2024-05-13;63.969;66.704
2024-05-14;64.292;66.35
2024-05-15;57.615;66.015
2024-05-16;51.552;65.704
2024-05-17;59.24;65.416
2024-05-18;60.573;65.155
2024-05-19;61.979;64.921
2024-05-20;69.052;64.714
2024-05-21;65.729;64.535
2024-05-22;60.604;64.383
2024-05-23;65.917;64.257
2024-05-24;63.396;64.155
2024-05-25;59.115;64.075
2024-05-26;54.646;64.014
2024-05-27;59.854;63.968
2024-05-28;58.604;63.935
2024-05-29;70.021;63.91
2024-05-30;68.832;63.89
2024-05-31;60.438;63.87
2024-06-01;63.052;63.845
2024-06-02;66.26;63.813
2024-06-03;68.5;63.768
2024-06-04;66.0;63.707
2024-06-05;64.337;63.627
2024-06-06;68.217;63.525
2024-06-07;65.583;63.398
2024-06-08;64.188;63.245
2024-06-09;60.812;63.063
2024-06-10;63.167;62.853
2024-06-11;66.167;62.615
2024-06-12;56.219;62.349
2024-06-13;61.094;62.056
2024-06-14;59.635;61.737
2024-06-15;65.573;61.397
2024-06-16;61.49;61.036
2024-06-17;58.667;60.659
2024-06-18;52.125;60.268
2024-06-19;60.948;59.868
2024-06-20;62.26;59.462
2024-06-21;59.625;59.054
2024-06-22;56.347;58.648
2024-06-23;54.073;58.247
2024-06-24;55.463;57.855
2024-06-25;49.323;57.474
2024-06-26;51.656;57.107
2024-06-27;54.792;56.756
2024-06-28;54.51;56.423
2024-06-29;53.394;56.108
2024-06-30;49.316;55.811
2024-07-01;43.832;55.533
2024-07-02;44.167;55.273
2024-07-03;59.0;55.029
2024-07-04;56.625;54.801
2024-07-05;53.781;54.585
2024-07-06;55.333;54.38
2024-07-07;48.417;54.182
2024-07-08;47.5;53.99
2024-07-09;49.438;53.8
2024-07-10;49.505;53.611
2024-07-11;46.915;53.418
2024-07-12;48.083;53.22
2024-07-13;52.865;53.015
2024-07-14;54.354;52.802
2024-07-15;53.146;52.579
2024-07-16;50.771;52.345
2024-07-17;50.663;52.1
2024-07-18;50.979;51.845
2024-07-19;52.396;51.58
2024-07-20;50.083;51.307
2024-07-21;51.615;51.027
2024-07-22;51.219;50.742
2024-07-23;49.948;50.455
2024-07-24;46.729;50.168
2024-07-25;45.719;49.884
2024-07-26;45.844;49.605
2024-07-27;54.156;49.335
2024-07-28;54.74;49.076
2024-07-29;45.948;48.829
2024-07-30;44.448;48.597
2024-07-31;39.458;48.381
2024-08-01;53.411;48.182
2024-08-02;58.864;48.0
2024-08-03;56.558;47.835
2024-08-04;52.264;47.686
2024-08-05;50.62;47.552
2024-08-06;53.118;47.43
2024-08-07;41.744;47.318
2024-08-08;46.125;47.212
2024-08-09;44.032;47.109
2024-08-10;58.698;47.005
2024-08-11;56.333;46.896
2024-08-12;36.947;46.778
2024-08-13;28.469;46.646
2024-08-14;34.853;46.496
2024-08-15;50.729;46.326
2024-08-16;44.358;46.131
2024-08-17;38.698;45.908
2024-08-18;35.802;45.657
