data;temperatura_observada;temperatura_prevista;estacao
2023-10-20;26.462500000000002;26.247651810367184;BRASILIA
2023-10-21;23.0625;23.99600012239142;BRASILIA
2023-10-22;23.741666666666664;23.877686739944846;BRASILIA
2023-10-23;25.582608695652173;25.065181314518338;BRASILIA
2023-10-24;24.758333333333336;24.56988760821823;BRASILIA
2023-10-25;25.054166666666664;24.174056456942917;BRASILIA
2023-10-26;23.695652173913043;23.744944172483653;BRASILIA
2023-10-27;23.245833333333334;23.27023833360412;BRASILIA
2023-10-28;22.349999999999998;22.105149505760657;BRASILIA
2023-10-29;24.258333333333336;23.588341959202957;BRASILIA
2023-10-30;25.46666666666667;24.118258884586975;BRASILIA
2023-10-31;24.445833333333336;23.556511535615545;BRASILIA
2023-11-01;23.3625;23.33838992273084;BRASILIA
2023-11-02;22.787499999999998;22.389891912145732;BRASILIA
2023-11-03;22.55;21.8555758147411;BRASILIA
2023-11-04;22.02916666666667;22.069532564999424;BRASILIA
2023-11-05;22.90833333333333;22.14945065940923;BRASILIA
2023-11-06;24.59166666666667;22.62531627943428;BRASILIA
2023-11-07;25.3125;22.91486167704264;BRASILIA
2023-11-08;25.2;23.32119527860074;BRASILIA
2023-11-09;25.27916666666667;25.235671755759622;BRASILIA
2023-11-10;24.866666666666664;25.651395383850172;BRASILIA
2023-11-11;26.870833333333334;25.601758260130136;BRASILIA
2023-11-12;26.0125;25.451012103873413;BRASILIA
2023-11-13;26.329166666666666;24.37515549267828;BRASILIA
2023-11-14;26.55;24.81044622869302;BRASILIA
2023-11-15;27.620833333333334;24.58562467484863;BRASILIA
2023-11-16;26.09583333333333;24.23463606232791;BRASILIA
2023-11-17;26.016666666666666;23.755267866954703;BRASILIA
2023-11-18;24.766666666666666;22.792760738038847;BRASILIA
2023-11-19;25.34583333333333;23.14838227609169;BRASILIA
2023-11-20;21.383333333333336;21.21759294444455;BRASILIA
2023-11-21;21.8;21.482473648855684;BRASILIA
2023-11-22;22.354166666666668;21.528893045831218;BRASILIA
2023-11-23;23.358333333333334;22.00605564716523;BRASILIA
2023-11-24;24.075;21.783384522245015;BRASILIA
2023-11-25;23.633333333333336;21.95120084270506;BRASILIA
2023-11-26;24.141666666666666;22.457120323661282;BRASILIA
2023-11-27;22.016666666666666;20.755797519925206;BRASILIA
2023-11-28;23.745833333333334;22.07840475368405;BRASILIA
2023-11-29;23.5;22.433906272826967;BRASILIA
2023-11-30;23.40833333333333;22.26948774596807;BRASILIA
2023-12-01;22.183333333333334;21.631605024062882;BRASILIA
2023-12-02;22.6875;22.099887862849624;BRASILIA
2023-12-03;21.6125;21.28874577178576;BRASILIA
2023-12-04;21.558333333333334;21.121230952654106;BRASILIA
2023-12-05;21.433333333333334;20.75299502684294;BRASILIA
2023-12-06;22.525000000000002;21.74672534013708;BRASILIA
2023-12-07;24.53333333333333;23.5301032048032;BRASILIA
2023-12-08;25.162499999999998;24.36582108057461;BRASILIA
2023-12-09;25.170833333333334;24.061953965076572;BRASILIA
2023-12-10;26.65416666666667;24.150863871814217;BRASILIA
2023-12-11;24.179166666666664;22.23184640727527;BRASILIA
2023-12-12;22.45;21.454249422701384;BRASILIA
2023-12-13;24.483333333333334;22.827918783082996;BRASILIA
2023-12-14;25.96666666666667;24.365276584812833;BRASILIA
2023-12-15;26.28333333333333;25.21414265957827;BRASILIA
2023-12-16;25.75;25.11645467622221;BRASILIA
2023-12-17;24.59583333333333;24.660019507674985;BRASILIA
2023-12-18;23.833333333333332;24.10256012902537;BRASILIA
2023-12-19;22.900000000000002;22.734871258654305;BRASILIA
2023-12-20;22.425;22.01829452741311;BRASILIA
2023-12-21;20.258333333333333;20.67667099600759;BRASILIA
2023-12-22;21.254166666666666;20.990935613931683;BRASILIA
2023-12-23;21.712500000000002;21.237696076669774;BRASILIA
2023-12-24;22.170833333333334;21.410789889478835;BRASILIA
2023-12-25;23.670833333333334;21.924529054562736;BRASILIA
2023-12-26;23.233333333333334;21.79144896728308;BRASILIA
2023-12-27;22.979166666666668;22.128948755509594;BRASILIA
2023-12-28;22.474999999999998;21.933832204539463;BRASILIA
2023-12-29;24.09583333333333;22.07699676471605;BRASILIA
2023-12-30;23.03333333333333;21.324947464100546;BRASILIA
2023-12-31;22.025000000000002;21.35348482239043;BRASILIA
2024-01-01;21.995833333333334;21.79282148389421;BRASILIA
2024-01-02;21.1875;21.30075580087062;BRASILIA
2024-01-03;20.537499999999998;20.87944964868717;BRASILIA
2024-01-04;20.375;20.805263558927397;BRASILIA
2024-01-05;20.400000000000002;20.769415541458528;BRASILIA
2024-01-06;21.979166666666668;21.699728181944828;BRASILIA
2024-01-07;21.9875;21.703091184779684;BRASILIA
2024-01-08;21.458333333333332;20.983901458665056;BRASILIA
2024-01-09;21.575;21.090078235601144;BRASILIA
2024-01-10;20.620833333333334;20.852148223773117;BRASILIA
2024-01-11;21.3;21.334759983517994;BRASILIA
2024-01-12;22.995833333333334;22.254152552921582;BRASILIA
2024-01-13;22.679166666666664;21.5958044975241;BRASILIA
2024-01-14;22.037499999999998;21.015414139659725;BRASILIA
2024-01-15;21.491666666666664;21.119513418349065;BRASILIA
2024-01-16;22.579166666666666;21.769177070346526;BRASILIA
2024-01-17;24.53333333333333;22.568757736615428;BRASILIA
2024-01-18;23.991666666666664;22.46869123452367;BRASILIA
2024-01-19;23.866666666666664;22.424119730441404;BRASILIA
2024-01-20;24.508333333333336;22.71591306345756;BRASILIA
2024-01-21;23.787499999999998;21.908883647674593;BRASILIA
