data;temperatura_observada;temperatura_prevista
2023-10-20;26.742;26.163
2023-10-21;24.116;25.101
2023-10-22;24.134;24.447
2023-10-23;26.231;23.987
2023-10-24;25.138;23.691
2023-10-25;25.122;23.479
2023-10-26;24.1;23.323
2023-10-27;23.747;23.198
2023-10-28;22.834;23.093
2023-10-29;24.934;22.999
2023-10-30;25.933;22.913
2023-10-31;24.578;22.831
2023-11-01;24.293;22.754
2023-11-02;22.783;22.679
2023-11-03;22.625;22.606
2023-11-04;23.042;22.536
2023-11-05;23.352;22.468
2023-11-06;24.862;22.402
2023-11-07;25.502;22.339
2023-11-08;25.167;22.278
2023-11-09;25.764;22.219
2023-11-10;25.677;22.163
2023-11-11;26.944;22.11
2023-11-12;26.611;22.059
2023-11-13;26.23;22.011
2023-11-14;26.281;21.966
2023-11-15;26.91;21.924
2023-11-16;25.876;21.885
2023-11-17;25.688;21.849
2023-11-18;25.436;21.816
2023-11-19;25.944;21.786
2023-11-20;21.606;21.759
2023-11-21;22.62;21.735
2023-11-22;22.752;21.714
2023-11-23;23.398;21.695
2023-11-24;24.426;21.68
2023-11-25;23.997;21.667
2023-11-26;24.641;21.657
2023-11-27;21.972;21.65
2023-11-28;23.973;21.645
2023-11-29;24.31;21.643
2023-11-30;23.855;21.643
2023-12-01;22.821;21.646
2023-12-02;23.258;21.651
2023-12-03;22.109;21.657
2023-12-04;22.062;21.666
2023-12-05;21.599;21.676
2023-12-06;23.179;21.688
2023-12-07;24.873;21.702
2023-12-08;25.602;21.717
2023-12-09;25.474;21.733
2023-12-10;26.804;21.75
2023-12-11;23.599;21.769
2023-12-12;22.864;21.788
2023-12-13;24.798;21.808
2023-12-14;26.121;21.828
2023-12-15;25.986;21.849
2023-12-16;26.105;21.87
2023-12-17;25.1;21.891
2023-12-18;24.283;21.913
2023-12-19;22.957;21.934
2023-12-20;22.564;21.955
2023-12-21;20.489;21.975
2023-12-22;21.878;21.995
2023-12-23;22.208;22.015
2023-12-24;22.589;22.034
2023-12-25;24.137;22.052
2023-12-26;23.596;22.069
2023-12-27;23.87;22.086
2023-12-28;23.105;22.101
2023-12-29;24.167;22.116
2023-12-30;23.04;22.129
2023-12-31;22.262;22.141
2024-01-01;22.756;22.152
2024-01-02;21.799;22.161
2024-01-03;20.847;22.17
2024-01-04;20.968;22.177
2024-01-05;20.659;22.183
2024-01-06;22.562;22.187
2024-01-07;22.169;22.19
2024-01-08;21.58;22.192
2024-01-09;22.005;22.193
2024-01-10;21.234;22.192
2024-01-11;21.945;22.19
2024-01-12;23.368;22.187
2024-01-13;23.149;22.183
2024-01-14;22.107;22.178
2024-01-15;22.238;22.172
2024-01-16;22.983;22.164
2024-01-17;24.395;22.156
2024-01-18;23.932;22.147
2024-01-19;24.041;22.137
2024-01-20;24.276;22.127
2024-01-21;23.427;22.116
2024-01-22;22.67;22.104
2024-01-23;22.367;22.092
2024-01-24;22.129;22.079
2024-01-25;22.502;22.066
2024-01-26;21.492;22.053
2024-01-27;22.072;22.04
2024-01-28;21.999;22.027
2024-01-29;22.482;22.013
2024-01-30;22.989;22.0
2024-01-31;21.707;21.987
2024-02-01;21.905;21.974
2024-02-02;22.34;21.962
2024-02-03;22.031;21.95
2024-02-04;22.56;21.939
2024-02-05;22.148;21.928
2024-02-06;21.532;21.917
2024-02-07;22.896;21.907
2024-02-08;22.291;21.898
2024-02-09;22.78;21.89
2024-02-10;21.099;21.882
2024-02-11;19.891;21.876
2024-02-12;22.201;21.87
2024-02-13;24.123;21.864
2024-02-14;24.165;21.86
2024-02-15;23.405;21.857
2024-02-16;22.539;21.854
2024-02-17;22.07;21.853
2024-02-18;22.025;21.852
2024-02-19;21.352;21.852
2024-02-20;20.597;21.853
2024-02-21;21.093;21.855
2024-02-22;22.108;21.858
