data;temperatura_observada;temperatura_prevista
2023-10-21;69.792;47.019
2023-10-22;68.25;70.407
2023-10-23;51.174;62.634
2023-10-24;58.625;45.652
2023-10-25;59.458;57.825
2023-10-26;68.087;58.73
2023-10-27;74.583;65.309
2023-10-28;84.417;69.146
2023-10-29;72.875;76.912
2023-10-30;63.458;67.447
2023-10-31;66.333;60.663
2023-11-01;73.0;65.088
2023-11-02;75.5;71.469
2023-11-03;80.417;71.312
2023-11-04;82.417;74.97
2023-11-05;80.5;76.526
2023-11-06;70.75;75.629
2023-11-07;63.958;67.176
2023-11-08;55.375;62.373
2023-11-09;37.708;55.805
2023-11-10;40.083;39.058
2023-11-11;35.667;43.812
2023-11-12;42.667;38.273
2023-11-13;51.417;46.646
2023-11-14;43.667;53.128
2023-11-15;43.958;40.613
2023-11-16;48.5;41.73
2023-11-17;55.833;48.003
2023-11-18;68.625;55.303
2023-11-19;63.667;66.476
2023-11-20;82.375;57.463
2023-11-21;85.917;75.959
2023-11-22;81.833;77.283
2023-11-23;74.958;76.191
2023-11-24;72.542;70.64
2023-11-25;73.417;70.224
2023-11-26;70.792;71.288
2023-11-27;80.917;68.166
2023-11-28;71.333;76.337
2023-11-29;69.875;66.932
2023-11-30;70.708;67.116
2023-12-01;75.083;67.871
2023-12-02;76.292;72.236
2023-12-03;81.417;72.134
2023-12-04;80.0;76.118
2023-12-05;83.833;74.96
2023-12-06;75.875;78.271
2023-12-07;56.625;71.633
2023-12-08;47.125;54.999
2023-12-09;53.792;48.505
2023-12-10;51.208;57.206
2023-12-11;67.25;52.995
2023-12-12;76.5;65.281
2023-12-13;68.375;70.427
2023-12-14;49.667;62.653
2023-12-15;36.583;45.722
2023-12-16;40.208;37.139
2023-12-17;52.042;45.365
2023-12-18;62.333;57.022
2023-12-19;70.542;61.529
2023-12-20;79.375;67.178
2023-12-21;90.458;71.791
2023-12-22;84.708;80.612
2023-12-23;83.5;77.319
2023-12-24;77.375;77.658
2023-12-25;76.25;73.614
2023-12-26;75.083;73.708
2023-12-27;74.458;72.357
2023-12-28;79.292;71.656
2023-12-29;74.208;75.28
2023-12-30;79.417;70.262
2023-12-31;80.875;75.343
2024-01-01;82.542;75.809
2024-01-02;91.0;77.732
2024-01-03;93.375;83.507
2024-01-04;94.75;84.934
2024-01-05;92.125;86.206
2024-01-06;84.917;84.288
2024-01-07;82.5;80.121
2024-01-08;88.375;78.824
2024-01-09;83.458;83.021
2024-01-10;90.625;79.027
2024-01-11;85.875;83.939
2024-01-12;74.292;79.76
2024-01-13;80.833;71.049
2024-01-14;85.5;76.973
2024-01-15;83.667;80.481
2024-01-16;77.958;78.943
2024-01-17;66.042;73.717
2024-01-18;70.833;63.593
2024-01-19;71.75;69.79
2024-01-20;65.625;69.738
2024-01-21;73.167;63.066
2024-01-22;82.458;70.119
2024-01-23;81.333;76.877
2024-01-24;87.25;75.944
2024-01-25;84.167;80.373
2024-01-26;91.25;77.88
2024-01-27;85.0;84.111
2024-01-28;87.083;79.066
2024-01-29;81.042;81.668
2024-01-30;80.125;76.662
2024-01-31;85.458;76.865
2024-02-01;80.083;80.073
2024-02-02;76.958;75.969
2024-02-03;74.917;73.511
2024-02-04;71.083;71.954
2024-02-05;81.458;68.711
2024-02-06;83.75;77.164
2024-02-07;78.75;77.989
2024-02-08;83.083;74.224
2024-02-09;85.25;77.531
2024-02-10;91.792;79.465
2024-02-11;95.125;84.515
2024-02-12;81.208;86.295
2024-02-13;64.125;76.145
2024-02-14;61.292;62.283
2024-02-15;75.167;62.581
2024-02-16;83.958;74.948
2024-02-17;85.625;78.257
2024-02-18;83.833;77.965
2024-02-19;86.75;77.408
2024-02-20;94.0;80.187
2024-02-21;91.167;85.861
2024-02-22;83.958;83.927
2024-02-23;86.0;78.933
2024-02-24;78.75;80.634
2024-02-25;73.5;75.394
2024-02-26;66.5;71.223
2024-02-27;64.5;64.744
2024-02-28;66.0;64.014
2024-02-29;64.25;64.766
2024-03-01;74.875;62.231
2024-03-02;79.958;71.273
2024-03-03;85.708;74.226
2024-03-04;85.5;78.619
2024-03-05;81.125;78.642
2024-03-06;78.609;76.19
2024-03-07;78.333;74.881
2024-03-08;69.875;75.131
2024-03-09;76.917;67.149
2024-03-10;81.333;74.201
2024-03-11;85.417;76.516
2024-03-12;81.958;79.61
2024-03-13;81.917;76.242
2024-03-14;86.417;77.012
2024-03-15;77.208;80.373
2024-03-16;73.125;73.216
2024-03-17;82.25;70.485
2024-03-18;82.043;77.677
2024-03-19;77.958;77.74
2024-03-20;79.917;73.843
2024-03-21;81.333;75.23
2024-03-22;81.917;76.936
2024-03-23;92.167;77.451
2024-03-24;85.333;84.576
2024-03-25;86.958;79.239
2024-03-26;85.833;81.092
2024-03-27;86.625;79.772
2024-03-28;88.5;81.631
2024-03-29;83.667;82.151
2024-03-30;81.833;78.903
2024-03-31;81.792;77.726
2024-04-01;80.292;77.66
2024-04-02;91.75;76.664
2024-04-03;87.375;84.528
2024-04-04;88.625;80.806
2024-04-05;83.333;82.278
2024-04-06;84.833;77.864
2024-04-07;83.417;80.433
2024-04-08;75.083;78.748
2024-04-09;72.0;71.94
2024-04-10;83.167;69.773
2024-04-11;92.417;78.666
2024-04-12;92.083;84.397
2024-04-13;78.792;83.748
2024-04-14;73.917;73.756
2024-04-15;74.625;71.453
2024-04-16;77.875;72.901
2024-04-17;74.667;75.329
2024-04-18;71.417;71.015
2024-04-19;74.167;68.178
2024-04-20;73.708;71.254
2024-04-21;75.458;70.447
2024-04-22;78.25;71.962
2024-04-23;74.458;73.888
2024-04-24;79.667;70.501
2024-04-25;71.0;75.31
2024-04-26;69.375;67.191
2024-04-27;66.5;67.043
2024-04-28;69.792;64.162
2024-04-29;67.208;67.952
2024-04-30;65.417;64.156
2024-05-01;63.125;62.637
2024-05-02;65.333;60.563
2024-05-03;67.333;63.205
2024-05-04;58.25;64.363
2024-05-05;65.333;55.615
2024-05-06;72.792;63.137
2024-05-07;73.083;69.123
2024-05-08;68.167;68.581
2024-05-09;70.167;63.949
2024-05-10;68.75;67.074
2024-05-11;62.958;65.769
2024-05-12;61.667;60.583
2024-05-13;67.208;59.761
2024-05-14;64.833;65.209
2024-05-15;57.5;61.951
2024-05-16;56.542;54.914
2024-05-17;60.417;55.138
2024-05-18;58.625;59.391
2024-05-19;66.583;56.555
2024-05-20;71.5;63.011
2024-05-21;68.708;66.863
2024-05-22;63.25;64.123
2024-05-23;68.667;59.746
2024-05-24;70.375;66.181
2024-05-25;65.042;67.214
2024-05-26;55.875;61.695
2024-05-27;61.708;53.617
2024-05-28;63.292;60.944
2024-05-29;72.435;61.631
2024-05-30;72.522;68.469
2024-05-31;64.667;67.541
2024-06-01;66.75;60.716
2024-06-02;69.833;64.097
2024-06-03;73.5;67.225
2024-06-04;69.542;69.898
2024-06-05;67.739;65.448
2024-06-06;71.958;64.593
2024-06-07;70.083;69.031
2024-06-08;67.417;66.76
2024-06-09;65.625;64.287
2024-06-10;65.833;62.847
2024-06-11;70.75;63.602
2024-06-12;59.583;67.767
2024-06-13;60.167;56.612
2024-06-14;61.583;58.484
2024-06-15;70.583;59.947
2024-06-16;62.125;67.93
2024-06-17;58.417;57.518
2024-06-18;52.667;55.897
2024-06-19;63.5;51.642
2024-06-20;66.958;63.148
2024-06-21;64.417;63.271
2024-06-22;55.739;59.762
2024-06-23;57.5;52.314
2024-06-24;61.174;56.459
2024-06-25;53.375;59.907
2024-06-26;53.292;51.574
2024-06-27;57.167;51.583
2024-06-28;57.5;55.692
