REGI?O:;UF:;ESTAC?O:;CODIGO (WMO):;LATITUDE:;LONGITUDE:;ALTITUDE:;Arquivo
CO;MS;RIO BRILHANTE;A743;-21.774944;-54.528108;324.31;INMET_CO_MS_A743_RIO BRILHANTE_01-01-2019_A_31-12-2019.CSV
S;RS;CANGUCU;A811;-31.403299;-52.700699;446.81;INMET_S_RS_A811_CANGUCU_01-01-2019_A_31-12-2019.CSV
SE;RJ;ANGRA DOS REIS;A628;-22.975694;-44.303444;6.0;INMET_SE_RJ_A628_ANGRA DOS REIS_01-01-2019_A_31-12-2019.CSV
NE;BA;LENCOIS;A425;-12.557854;-41.388808;438.09;INMET_NE_BA_A425_LENCOIS_01-01-2019_A_31-12-2019.CSV
CO;MT;AGUA BOA;A908;-14.01638888;-52.21166666;440.0;INMET_CO_MT_A908_AGUA BOA_01-01-2019_A_31-12-2019.CSV
N;PA;PARAGOMINAS;A212;-2.99027777;-47.40777777;113.0;INMET_N_PA_A212_PARAGOMINAS_01-01-2019_A_31-12-2019.CSV
S;SC;URUSSANGA;A814;-28.53249999;-49.31527777;40.56;INMET_S_SC_A814_URUSSANGA_01-01-2019_A_31-12-2019.CSV
S;PR;CLEVELANDIA;A876;-26.41722221;-52.3486111;966.06;INMET_S_PR_A876_CLEVELANDIA_01-01-2019_A_31-12-2019.CSV
SE;RJ;RIO DE JANEIRO - FORTE DE COPACABANA;A652;-22.98833333;-43.19055555;25.59;INMET_SE_RJ_A652_RIO DE JANEIRO - FORTE DE COPACABANA_01-01-2019_A_31-12-2019.CSV
S;PR;PARANAPOEMA;A850;-22.658273;-52.134526;308.7;INMET_S_PR_A850_PARANAPOEMA_01-01-2019_A_31-12-2019.CSV
NE;BA;CRUZ DAS ALMAS;A406;-12.675422;-39.08958;219.76;INMET_NE_BA_A406_CRUZ DAS ALMAS_01-01-2019_A_31-12-2019.CSV
SE;SP;AVARE;A725;-23.10166666;-48.9411111;776.36;INMET_SE_SP_A725_AVARE_01-01-2019_A_31-12-2019.CSV
NE;PE;RECIFE;A301;-8.05928;-34.959239;11.3;INMET_NE_PE_A301_RECIFE_01-01-2019_A_31-12-2019.CSV
CO;MT;ITIQUIRA;A933;-17.175051;-54.50169;593.12;INMET_CO_MT_A933_ITIQUIRA_01-01-2019_A_31-12-2019.CSV
S;PR;CAMPINA DA LAGOA;B803;-24.570861;-52.800256;598.0;INMET_S_PR_B803_CAMPINA DA LAGOA_01-01-2019_A_31-12-2019.CSV
SE;RJ;VALENCA;A611;-22.35805555;-43.69555555;370.0;INMET_SE_RJ_A611_VALENCA_01-01-2019_A_31-12-2019.CSV
NE;SE;CARIRA;A420;-10.399719;-37.747503;289.92;INMET_NE_SE_A420_CARIRA_01-01-2019_A_31-12-2019.CSV
CO;MS;SETE QUEDAS;A751;-23.96694443;-55.02416666;398.4;INMET_CO_MS_A751_SETE QUEDAS_01-01-2019_A_31-12-2019.CSV
CO;MT;ALTA FLORESTA;A924;-10.077262;-56.179221;291.85;INMET_CO_MT_A924_ALTA FLORESTA_01-01-2019_A_31-12-2019.CSV
NE;PE;CABROBO;A329;-8.504;-39.31528;342.74;INMET_NE_PE_A329_CABROBO_01-01-2019_A_31-12-2019.CSV
CO;GO;GOIANESIA;A022;-15.22027777;-48.98999999;667.01;INMET_CO_GO_A022_GOIANESIA_01-01-2019_A_31-12-2019.CSV
SE;RJ;RIO DE JANEIRO-MARAMBAIA;A602;-23.05027777;-43.59555555;12.0;INMET_SE_RJ_A602_RIO DE JANEIRO-MARAMBAIA_01-01-2019_A_31-12-2019.CSV
NE;BA;VITORIA DA CONQUISTA;A414;-14.886428;-40.80133;879.38;INMET_NE_BA_A414_VITORIA DA CONQUISTA_01-01-2019_A_31-12-2019.CSV
NE;PE;PETROLINA;A307;-9.388323;-40.523262;372.72;INMET_NE_PE_A307_PETROLINA_01-01-2019_A_31-12-2019.CSV
N;RO;ARIQUEMES;A940;-9.949001;-62.961873;128.44;INMET_N_RO_A940_ARIQUEMES_01-01-2019_A_31-12-2019.CSV
SE;SP;SAO PAULO - INTERLAGOS;A771;-23.724501;-46.677501;771.0;INMET_SE_SP_A771_SAO PAULO - INTERLAGOS_01-01-2019_A_31-12-2019.CSV
SE;MG;GOVERNADOR VALADARES;A532;-18.830354;-41.977007;198.24;INMET_SE_MG_A532_GOVERNADOR VALADARES_01-01-2019_A_31-12-2019.CSV
CO;MT;PONTES E LACERDA;A937;-15.234582;-59.346215;272.53;INMET_CO_MT_A937_PONTES E LACERDA_01-01-2019_A_31-12-2019.CSV
CO;MT;VILA BELA DA SANTISSIMA TRINDADE;A922;-15.062696;-59.872921;213.0;INMET_CO_MT_A922_VILA BELA DA SANTISSIMA TRINDADE_01-01-2019_A_31-12-2019.CSV
SE;RJ;TERESOPOLIS-PARQUE NACIONAL;A618;-22.4486111;-42.98694444;981.0;INMET_SE_RJ_A618_TERESOPOLIS-PARQUE NACIONAL_01-01-2019_A_31-12-2019.CSV
CO;MT;NOVA MARINGA;A928;-13.038642;-57.092201;334.36;INMET_CO_MT_A928_NOVA MARINGA_01-01-2019_A_31-12-2019.CSV
NE;MA;ZE DOCA;A255;-3.26916666;-45.65111111;45.5;INMET_NE_MA_A255_ZE DOCA_18-09-2019_A_31-12-2019.CSV
N;PA;SANTANA DO ARAGUAIA;A233;-9.338611;-50.35028;176.75;INMET_N_PA_A233_SANTANA DO ARAGUAIA_01-01-2019_A_31-12-2019.CSV
N;PA;TOME ACU;A213;-2.59249999;-48.36055555;42.95;INMET_N_PA_A213_TOME ACU_01-01-2019_A_31-12-2019.CSV
SE;MG;ITAOBIM;A550;-16.575667;-41.485588;271.63;INMET_SE_MG_A550_ITAOBIM_01-01-2019_A_31-12-2019.CSV
N;TO;ARAGUAINA;A021;-7.103954;-48.201231;230.76;INMET_N_TO_A021_ARAGUAINA_01-01-2019_A_31-12-2019.CSV
NE;PI;CASTELO DO PIAUI;A361;-5.349228;-41.512274;268.75;INMET_NE_PI_A361_CASTELO DO PIAUI_01-01-2019_A_31-12-2019.CSV
S;SC;CACADOR;A859;-26.819156;-50.98552;944.26;INMET_S_SC_A859_CACADOR_01-01-2019_A_31-12-2019.CSV
NE;PI;CARACOL;A337;-9.28583333;-43.32444443;515.3;INMET_NE_PI_A337_CARACOL_01-01-2019_A_31-12-2019.CSV
NE;PI;ANGICAL DO PIAUI;A377;-6.08944444;-42.72749999;183.0;INMET_NE_PI_A377_ANGICAL DO PIAUI_14-11-2019_A_31-12-2019.CSV
NE;CE;ITAPIPOCA;A359;-3.484298;-39.588715;104.49;INMET_NE_CE_A359_ITAPIPOCA_01-01-2019_A_31-12-2019.CSV
NE;RN;MACAU;A317;-5.15111111;-36.57305554;17.37;INMET_NE_RN_A317_MACAU_01-01-2019_A_31-12-2019.CSV
S;RS;CANELA;A879;-29.36888888;-50.82722221;830.93;INMET_S_RS_A879_CANELA_01-01-2019_A_31-12-2019.CSV
NE;AL;SAO LUIS DO QUITUNDE;A356;-9.287481;-35.565878;13.69;INMET_NE_AL_A356_SAO LUIS DO QUITUNDE_01-01-2019_A_31-12-2019.CSV
N;AM;EIRUNEPE;A109;-6.650301;-69.86861;121.54;INMET_N_AM_A109_EIRUNEPE_01-01-2019_A_31-12-2019.CSV
N;AC;MARECHAL THAUMATURGO;A137;-8.95;-72.78666666;220.98;INMET_N_AC_A137_MARECHAL THAUMATURGO_01-01-2019_A_31-12-2019.CSV
NE;PE;SALGUEIRO;A370;-8.058056;-39.096111;447.0;INMET_NE_PE_A370_SALGUEIRO_01-01-2019_A_31-12-2019.CSV
SE;MG;ALMENARA;A508;-16.166773;-40.687756;189.11;INMET_SE_MG_A508_ALMENARA_01-01-2019_A_31-12-2019.CSV
CO;MS;COSTA RICA;A760;-18.492665;-53.171261;727.34;INMET_CO_MS_A760_COSTA RICA_01-01-2019_A_31-12-2019.CSV
N;TO;LAGOA DA CONFUSAO;A055;-10.828286;-49.847882;178.0;INMET_N_TO_A055_LAGOA DA CONFUSAO_01-01-2019_A_31-12-2019.CSV
CO;GO;MONTE ALEGRE DE GOIAS;A032;-13.253521;-46.890326;551.33;INMET_CO_GO_A032_MONTE ALEGRE DE GOIAS_01-01-2019_A_31-12-2019.CSV
SE;MG;MACHADO;A567;-21.680722;-45.944389;969.0;INMET_SE_MG_A567_MACHADO_01-01-2019_A_31-12-2019.CSV
N;TO;ALMAS;A053;-11.284098;-47.212125;503.0;INMET_N_TO_A053_ALMAS_01-01-2019_A_31-12-2019.CSV
N;AM;MAUES;A122;-3.39888888;-57.67388888;25.49;INMET_N_AM_A122_MAUES_01-01-2019_A_31-12-2019.CSV
NE;PI;BAIXA GRANDE DO RIBEIRO;A375;-8.333531;-45.094625;519.0;INMET_NE_PI_A375_BAIXA GRANDE DO RIBEIRO_01-01-2019_A_31-12-2019.CSV
SE;ES;LINHARES;A614;-19.356923;-40.068688;37.82;INMET_SE_ES_A614_LINHARES_01-01-2019_A_31-12-2019.CSV
CO;DF;AGUAS EMENDADAS;A045;-15.596491;-47.625801;1030.36;INMET_CO_DF_A045_AGUAS EMENDADAS_01-01-2019_A_31-12-2019.CSV
SE;RJ;RIO DE JANEIRO - VILA MILITAR;A621;-22.86138888;-43.41138888;30.43;INMET_SE_RJ_A621_RIO DE JANEIRO - VILA MILITAR_01-01-2019_A_31-12-2019.CSV
CO;GO;PARAUNA;A027;-16.962536;-50.42545;678.74;INMET_CO_GO_A027_PARAUNA_01-01-2019_A_31-12-2019.CSV
S;RS;JAGUARAO;A836;-32.534825;-53.37586;31.48;INMET_S_RS_A836_JAGUARAO_01-01-2019_A_31-12-2019.CSV
SE;MG;SAO ROMAO;A547;-16.362747;-45.123801;490.29;INMET_SE_MG_A547_SAO ROMAO_01-01-2019_A_31-12-2019.CSV
S;RS;PALMEIRA DAS MISSOES;A856;-27.920379;-53.318049;614.11;INMET_S_RS_A856_PALMEIRA DAS MISSOES_01-01-2019_A_31-12-2019.CSV
CO;DF;GAMA (PONTE ALTA);A046;-15.93527777;-48.13749999;990.0;INMET_CO_DF_A046_GAMA (PONTE ALTA)_01-01-2019_A_31-12-2019.CSV
S;RS;SOLEDADE;A837;-28.859211;-52.542387;660.44;INMET_S_RS_A837_SOLEDADE_01-01-2019_A_31-12-2019.CSV
NE;PE;IBIMIRIM;A349;-8.50944444;-37.71166666;434.23;INMET_NE_PE_A349_IBIMIRIM_01-01-2019_A_31-12-2019.CSV
SE;MG;SETE LAGOAS;A569;-19.455288;-44.173389;719.0;INMET_SE_MG_A569_SETE LAGOAS_01-01-2019_A_31-12-2019.CSV
SE;RJ;CAMPOS DOS GOYTACAZES;A607;-21.71472222;-41.34388888;17.0;INMET_SE_RJ_A607_CAMPOS DOS GOYTACAZES_01-01-2019_A_31-12-2019.CSV
SE;MG;CALDAS;A530;-21.918066;-46.382996;1077.34;INMET_SE_MG_A530_CALDAS_01-01-2019_A_31-12-2019.CSV
CO;MT;APIACAS;A910;-9.56333333;-57.3936111;217.75;INMET_CO_MT_A910_APIACAS_01-01-2019_A_31-12-2019.CSV
CO;MT;SAO FELIX  DO ARAGUAIA;A921;-11.619023;-50.727856;201.37;INMET_CO_MT_A921_SAO FELIX  DO ARAGUAIA_01-01-2019_A_31-12-2019.CSV
CO;MS;PONTA PORA;A703;-22.552448;-55.716317;668.0;INMET_CO_MS_A703_PONTA PORA_01-01-2019_A_31-12-2019.CSV
N;AM;ITACOATIARA;A121;-3.13333333;-58.48277777;41.54;INMET_N_AM_A121_ITACOATIARA_01-01-2019_A_31-12-2019.CSV
SE;SP;JALES;A733;-20.165025;-50.595134;460.44;INMET_SE_SP_A733_JALES_01-01-2019_A_31-12-2019.CSV
CO;MT;JUARA;A914;-11.280158;-57.526641;263.43;INMET_CO_MT_A914_JUARA_01-01-2019_A_31-12-2019.CSV
N;PA;DOM ELISEU;A252;-4.280556;-47.563972;251.0;INMET_N_PA_A252_DOM ELISEU_01-01-2019_A_31-12-2019.CSV
NE;PB;PATOS;A321;-7.07972221;-37.27277777;263.66;INMET_NE_PB_A321_PATOS_01-01-2019_A_31-12-2019.CSV
NE;BA;IBOTIRAMA;A439;-12.19306;-43.21342;425.12;INMET_NE_BA_A439_IBOTIRAMA_01-01-2019_A_31-12-2019.CSV
CO;MT;SAPEZAL;A911;-10.16583333;-59.45111111;105.0;INMET_CO_MT_A911_SAPEZAL_01-01-2019_A_31-12-2019.CSV
NE;PB;SAO GONCALO;A333;-6.835777;-38.311583;237.04;INMET_NE_PB_A333_SAO GONCALO_01-01-2019_A_31-12-2019.CSV
SE;MG;PATROCINIO;A523;-18.996684;-46.985935;978.11;INMET_SE_MG_A523_PATROCINIO_01-01-2019_A_31-12-2019.CSV
N;TO;MATEIROS;A040;-10.434441;-45.921941;791.0;INMET_N_TO_A040_MATEIROS_01-01-2019_A_31-12-2019.CSV
SE;SP;FRANCA;A708;-20.58444444;-47.38249999;1002.74;INMET_SE_SP_A708_FRANCA_01-01-2019_A_31-12-2019.CSV
SE;SP;SAO SIMAO;A770;-21.46111111;-47.57944443;620.0;INMET_SE_SP_A770_SAO SIMAO_03-07-2019_A_31-12-2019.CSV
SE;ES;ECOPORANGA;A631;-18.29138888;-40.73638888;224.0;INMET_SE_ES_A631_ECOPORANGA_01-01-2019_A_31-12-2019.CSV
SE;MG;TEOFILO OTONI;A527;-17.89284;-41.515423;467.17;INMET_SE_MG_A527_TEOFILO OTONI_01-01-2019_A_31-12-2019.CSV
S;SC;CURITIBANOS;A860;-27.288624;-50.604283;978.1;INMET_S_SC_A860_CURITIBANOS_01-01-2019_A_31-12-2019.CSV
SE;SP;CACHOEIRA PAULISTA;A769;-22.689001;-45.005444;586.0;INMET_SE_SP_A769_CACHOEIRA PAULISTA_01-01-2019_A_31-12-2019.CSV
S;SC;INDAIAL;A817;-26.913704;-49.267978;72.24;INMET_S_SC_A817_INDAIAL_01-01-2019_A_31-12-2019.CSV
SE;RJ;SEROPEDICA-ECOLOGIA AGRICOLA;A601;-22.75777777;-43.68472221;35.0;INMET_SE_RJ_A601_SEROPEDICA-ECOLOGIA AGRICOLA_01-01-2019_A_31-12-2019.CSV
SE;RJ;RIO DE JANEIRO - JACAREPAGUA;A636;-22.939883;-43.402897;20.0;INMET_SE_RJ_A636_RIO DE JANEIRO - JACAREPAGUA_01-01-2019_A_31-12-2019.CSV
S;RS;TUPANCIRETA;A886;-29.0893814;-53.82665025;462.0;INMET_S_RS_A886_TUPANCIRETA_01-01-2019_A_31-12-2019.CSV
CO;MS;NOVA ALVORADA DO SUL;S712;-21.450972;-54.341972;5.0;INMET_CO_MS_S712_NOVA ALVORADA DO SUL_01-01-2019_A_31-12-2019.CSV
SE;SP;IGUAPE;A712;-24.671654;-47.545896;2.7;INMET_SE_SP_A712_IGUAPE_01-01-2019_A_31-12-2019.CSV
N;AM;S. G. DA CACHOEIRA;A134;-0.125207;-67.061246;79.67;INMET_N_AM_A134_S. G. DA CACHOEIRA_01-01-2019_A_31-12-2019.CSV
N;PA;XINGUARA;A247;-7.110518;-49.926072;245.0;INMET_N_PA_A247_XINGUARA_01-01-2019_A_31-12-2019.CSV
CO;MT;SINOP;A917;-11.982245;-55.565993;366.57;INMET_CO_MT_A917_SINOP_01-01-2019_A_31-12-2019.CSV
NE;BA;VALENCA;A444;-13.34361;-39.12667;93.12;INMET_NE_BA_A444_VALENCA_01-01-2019_A_31-12-2019.CSV
S;RS;SANTO AUGUSTO;A805;-27.854345;-53.791179;489.67;INMET_S_RS_A805_SANTO AUGUSTO_01-01-2019_A_31-12-2019.CSV
CO;MT;GUARANTA DO NORTE;A906;-9.9525;-54.89777777;283.58;INMET_CO_MT_A906_GUARANTA DO NORTE_01-01-2019_A_31-12-2019.CSV
SE;MG;OURO BRANCO;A513;-20.556592;-43.75622;1048.2;INMET_SE_MG_A513_OURO BRANCO_01-01-2019_A_31-12-2019.CSV
SE;SP;REGISTRO;A766;-24.533139;-47.864139;35.0;INMET_SE_SP_A766_REGISTRO_01-01-2019_A_31-12-2019.CSV
N;TO;SANTA FE DO ARAGUAIA;A048;-7.124191;-48.781267;171.0;INMET_N_TO_A048_SANTA FE DO ARAGUAIA_01-01-2019_A_31-12-2019.CSV
SE;MG;OLIVEIRA;A570;-20.714917;-44.864567;1025.0;INMET_SE_MG_A570_OLIVEIRA_01-01-2019_A_31-12-2019.CSV
NE;BA;JACOBINA;A440;-11.205;-40.465;440.78;INMET_NE_BA_A440_JACOBINA_01-01-2019_A_31-12-2019.CSV
NE;BA;EUCLIDES DA CUNHA;A442;-10.537233;-38.996605;431.96;INMET_NE_BA_A442_EUCLIDES DA CUNHA_01-01-2019_A_31-12-2019.CSV
SE;ES;SANTA TERESA;A613;-19.988388;-40.579572;975.92;INMET_SE_ES_A613_SANTA TERESA_01-01-2019_A_31-12-2019.CSV
S;RS;RIO GRANDE;A802;-32.07878;-52.167738;4.92;INMET_S_RS_A802_RIO GRANDE_01-01-2019_A_31-12-2019.CSV
N;AM;MANICORE;A133;-5.7886111;-61.28833333;40.64;INMET_N_AM_A133_MANICORE_01-01-2019_A_31-12-2019.CSV
S;RS;PASSO FUNDO;A839;-28.226805;-52.403582;680.67;INMET_S_RS_A839_PASSO FUNDO_01-01-2019_A_31-12-2019.CSV
SE;SP;SAO SEBASTIAO;A767;-23.810722;-45.402528;24.0;INMET_SE_SP_A767_SAO SEBASTIAO_01-01-2019_A_31-12-2019.CSV
CO;MT;SORRISO;A904;-12.555107;-55.722863;379.31;INMET_CO_MT_A904_SORRISO_01-01-2019_A_31-12-2019.CSV
NE;BA;PIATA;A430;-13.155681;-41.774125;1283.95;INMET_NE_BA_A430_PIATA_01-01-2019_A_31-12-2019.CSV
N;AM;BOCA DO ACRE;A110;-8.776804;-67.332557;111.98;INMET_N_AM_A110_BOCA DO ACRE_01-01-2019_A_31-12-2019.CSV
NE;MA;CHAPADINHA;A206;-3.742674;-43.352084;104.0;INMET_NE_MA_A206_CHAPADINHA_01-01-2019_A_31-12-2019.CSV
N;TO;PALMAS;A009;-10.190744;-48.301811;291.87;INMET_N_TO_A009_PALMAS_01-01-2019_A_31-12-2019.CSV
SE;RJ;ITATIAIA;A635;-22.373944;-44.703111;2450.0;INMET_SE_RJ_A635_ITATIAIA_01-01-2019_A_31-12-2019.CSV
CO;MS;ANGELICA;S701;-22.148083;-53.763736;347.0;INMET_CO_MS_S701_ANGELICA_01-01-2019_A_31-12-2019.CSV
CO;MT;CACERES;A941;-16.07472221;-57.69305555;123.53;INMET_CO_MT_A941_CACERES_01-01-2019_A_31-12-2019.CSV
S;SC;ITAPOA;A851;-26.081303;-48.641774;6.18;INMET_S_SC_A851_ITAPOA_01-01-2019_A_31-12-2019.CSV
NE;BA;ITABERABA;A408;-12.52416666;-40.29972221;250.11;INMET_NE_BA_A408_ITABERABA_01-01-2019_A_31-12-2019.CSV
NE;AL;ARAPIRACA;A353;-9.80444444;-36.61916666;236.84;INMET_NE_AL_A353_ARAPIRACA_01-01-2019_A_31-12-2019.CSV
S;PR;ICARAIMA;A824;-23.39027777;-53.63583333;381.29;INMET_S_PR_A824_ICARAIMA_01-01-2019_A_31-12-2019.CSV
S;RS;SAO BORJA;A830;-28.650092;-56.016291;81.08;INMET_S_RS_A830_SAO BORJA_01-01-2019_A_31-12-2019.CSV
CO;GO;CRISTALINA (FAZENDA SANTA MONICA);A056;-16.39944444;-47.62583332;932.0;INMET_CO_GO_A056_CRISTALINA (FAZENDA SANTA MONICA)_01-01-2019_A_31-12-2019.CSV
N;AC;RIO BRANCO;A104;-9.957844;-68.165169;223.52;INMET_N_AC_A104_RIO BRANCO_01-01-2019_A_31-12-2019.CSV
NE;PE;SERRA TALHADA;A350;-7.954277;-38.295082;499.02;INMET_NE_PE_A350_SERRA TALHADA_01-01-2019_A_31-12-2019.CSV
N;PA;PLACAS;A211;-3.86404;-54.216416;100.45;INMET_N_PA_A211_PLACAS_01-01-2019_A_31-12-2019.CSV
S;SC;XANXERE;A858;-26.938666;-52.39809;878.74;INMET_S_SC_A858_XANXERE_01-01-2019_A_31-12-2019.CSV
NE;BA;UAUA;A435;-9.833617;-39.495631;450.6;INMET_NE_BA_A435_UAUA_01-01-2019_A_31-12-2019.CSV
S;PR;JOAQUIM TAVORA;A821;-23.505266;-49.946387;512.67;INMET_S_PR_A821_JOAQUIM TAVORA_01-01-2019_A_31-12-2019.CSV
CO;GO;EDEIA;A029;-17.33694444;-49.91472222;608.0;INMET_CO_GO_A029_EDEIA_01-01-2019_A_31-12-2019.CSV
N;AC;FEIJO;A138;-8.142654;-70.343594;157.17;INMET_N_AC_A138_FEIJO_01-01-2019_A_31-12-2019.CSV
CO;MT;CARLINDA;A926;-9.970586;-55.827543;293.71;INMET_CO_MT_A926_CARLINDA_01-01-2019_A_31-12-2019.CSV
NE;CE;GUARAMIRANGA;A314;-4.261351;-38.931068;865.53;INMET_NE_CE_A314_GUARAMIRANGA_01-01-2019_A_31-12-2019.CSV
CO;MS;CAMPO GRANDE;A702;-20.447195;-54.722615;528.47;INMET_CO_MS_A702_CAMPO GRANDE_01-01-2019_A_31-12-2019.CSV
SE;MG;PIRAPORA;A545;-17.258064;-44.835556;505.32;INMET_SE_MG_A545_PIRAPORA_01-01-2019_A_31-12-2019.CSV
NE;BA;DELFINO;A443;-10.45492;-41.206996;646.24;INMET_NE_BA_A443_DELFINO_01-01-2019_A_31-12-2019.CSV
S;SC;CHAPECO;A895;-27.95527777;-52.63555555;680.0;INMET_S_SC_A895_CHAPECO_19-02-2019_A_31-12-2019.CSV
NE;PI;URUCUI;A346;-7.44142;-44.345055;398.83;INMET_NE_PI_A346_URUCUI_01-01-2019_A_31-12-2019.CSV
SE;RJ;ARRAIAL DO CABO;A606;-22.97527777;-42.02138888;5.0;INMET_SE_RJ_A606_ARRAIAL DO CABO_01-01-2019_A_31-12-2019.CSV
SE;SP;BARRA DO TURVO;A746;-24.96277777;-48.41638888;659.89;INMET_SE_SP_A746_BARRA DO TURVO_01-01-2019_A_31-12-2019.CSV
SE;MG;PAMPULHA;A521;-19.883945;-43.969397;854.02;INMET_SE_MG_A521_PAMPULHA_01-01-2019_A_31-12-2019.CSV
CO;GO;GOIANIA;A002;-16.642841;-49.220222;727.3;INMET_CO_GO_A002_GOIANIA_01-01-2019_A_31-12-2019.CSV
N;PA;OBIDOS;A232;-1.880789;-55.519856;89.64;INMET_N_PA_A232_OBIDOS_01-01-2019_A_31-12-2019.CSV
N;PA;SALINOPOLIS;A215;-0.618884;-47.356596;23.18;INMET_N_PA_A215_SALINOPOLIS_01-01-2019_A_31-12-2019.CSV
NE;MA;CAXIAS;A237;-4.821352;-43.343659;84.85;INMET_NE_MA_A237_CAXIAS_01-01-2019_A_31-12-2019.CSV
NE;MA;IMPERATRIZ;A225;-5.555723;-47.459794;117.96;INMET_NE_MA_A225_IMPERATRIZ_01-01-2019_A_31-12-2019.CSV
CO;GO;CAIAPONIA;A023;-16.966841;-51.817567;740.1;INMET_CO_GO_A023_CAIAPONIA_01-01-2019_A_31-12-2019.CSV
NE;PE;SURUBIM;A328;-7.83972221;-35.80111111;421.44;INMET_NE_PE_A328_SURUBIM_01-01-2019_A_31-12-2019.CSV
NE;BA;ABROLHOS;A422;-17.963016;-38.703288;20.93;INMET_NE_BA_A422_ABROLHOS_01-01-2019_A_31-12-2019.CSV
SE;SP;ITAPEVA;A714;-23.981918;-48.885818;743.33;INMET_SE_SP_A714_ITAPEVA_01-01-2019_A_31-12-2019.CSV
N;RO;VILHENA;A938;-12.734862;-60.157784;583.3;INMET_N_RO_A938_VILHENA_01-01-2019_A_31-12-2019.CSV
SE;MG;CHAPADA GAUCHA;A548;-15.300159;-45.617431;873.2;INMET_SE_MG_A548_CHAPADA GAUCHA_01-01-2019_A_31-12-2019.CSV
NE;BA;BRUMADO;A433;-14.181886;-41.672281;473.37;INMET_NE_BA_A433_BRUMADO_01-01-2019_A_31-12-2019.CSV
NE;BA;AMARGOSA;A434;-13.009468;-39.616881;397.8;INMET_NE_BA_A434_AMARGOSA_01-01-2019_A_31-12-2019.CSV
NE;AL;CORURIPE;A355;-10.1286111;-36.28638888;82.39;INMET_NE_AL_A355_CORURIPE_01-01-2019_A_31-12-2019.CSV
SE;SP;TUPA;A768;-21.927251;-50.490251;498.0;INMET_SE_SP_A768_TUPA_01-01-2019_A_31-12-2019.CSV
CO;MS;CAARAPO;S706;-22.657056;-54.819306;456.0;INMET_CO_MS_S706_CAARAPO_01-01-2019_A_31-12-2019.CSV
N;AM;AUTAZES;A120;-3.583333;-59.12944;19.9;INMET_N_AM_A120_AUTAZES_01-01-2019_A_31-12-2019.CSV
S;PR;FOZ DO IGUACU;A846;-25.601834;-54.483065;235.09;INMET_S_PR_A846_FOZ DO IGUACU_01-01-2019_A_31-12-2019.CSV
S;RS;CACAPAVA DO SUL;A812;-30.545317;-53.46705;420.82;INMET_S_RS_A812_CACAPAVA DO SUL_01-01-2019_A_31-12-2019.CSV
N;TO;ARAGUATINS;A044;-5.643725;-48.111839;130.71;INMET_N_TO_A044_ARAGUATINS_01-01-2019_A_31-12-2019.CSV
CO;MT;SERRA NOVA DOURADA;A943;-11.98777777;-51.4261111;441.0;INMET_CO_MT_A943_SERRA NOVA DOURADA_29-03-2019_A_31-12-2019.CSV
S;PR;GENERAL CARNEIRO;A875;-26.398473;-51.35367;1009.01;INMET_S_PR_A875_GENERAL CARNEIRO_01-01-2019_A_31-12-2019.CSV
SE;SP;BEBDOURO;A764;-20.94916666;-48.48999999;790.0;INMET_SE_SP_A764_BEBDOURO_01-01-2019_A_31-12-2019.CSV
NE;PI;PAULISTANA;A330;-8.132288;-41.142945;376.0;INMET_NE_PI_A330_PAULISTANA_01-01-2019_A_31-12-2019.CSV
NE;AL;MACEIO;A303;-9.551168;-35.770195;84.12;INMET_NE_AL_A303_MACEIO_01-01-2019_A_31-12-2019.CSV
S;SC;ITAJAI;A868;-26.950924;-48.762031;9.76;INMET_S_SC_A868_ITAJAI_01-01-2019_A_31-12-2019.CSV
SE;RJ;RESENDE;A609;-22.450924;-44.444786;438.83;INMET_SE_RJ_A609_RESENDE_01-01-2019_A_31-12-2019.CSV
CO;MT;ALTO ARAGUAIA;A909;-17.33944444;-53.22444443;753.28;INMET_CO_MT_A909_ALTO ARAGUAIA_01-01-2019_A_31-12-2019.CSV
NE;BA;QUEIMADAS;A436;-10.984645;-39.617009;310.11;INMET_NE_BA_A436_QUEIMADAS_01-01-2019_A_31-12-2019.CSV
S;SC;RIO NEGRINHO;A862;-26.248411;-49.580624;856.89;INMET_S_SC_A862_RIO NEGRINHO_01-01-2019_A_31-12-2019.CSV
SE;RJ;NITEROI;A627;-22.867389;-43.102056;6.0;INMET_SE_RJ_A627_NITEROI_01-01-2019_A_31-12-2019.CSV
CO;MS;SIDROLANDIA;A754;-20.98166666;-54.97194443;471.43;INMET_CO_MS_A754_SIDROLANDIA_01-01-2019_A_31-12-2019.CSV
NE;BA;RIBEIRA DO AMPARO;A458;-11.05861111;-38.44416666;182.0;INMET_NE_BA_A458_RIBEIRA DO AMPARO_01-01-2019_A_31-12-2019.CSV
SE;MG;VICOSA;A510;-20.762607;-42.864013;697.64;INMET_SE_MG_A510_VICOSA_01-01-2019_A_31-12-2019.CSV
SE;SP;ITAPIRA;A739;-22.415062;-46.805292;634.89;INMET_SE_SP_A739_ITAPIRA_01-01-2019_A_31-12-2019.CSV
NE;PI;SAO RAIMUNDO NONATO;A345;-9.03333333;-42.70111111;383.13;INMET_NE_PI_A345_SAO RAIMUNDO NONATO_01-01-2019_A_31-12-2019.CSV
NE;BA;JEREMOABO;A450;-10.08083332;-38.34583333;261.0;INMET_NE_BA_A450_JEREMOABO_01-01-2019_A_31-12-2019.CSV
