REGI?O:;UF:;ESTAC?O:;CODIGO (WMO):;LATITUDE:;LONGITUDE:;ALTITUDE:;Arquivo
CO;MS;PORTO MURTINHO;A723;-21.70585;-57.886546;78.56;INMET_CO_MS_A723_PORTO MURTINHO_01-01-2019_A_31-12-2019.CSV
NE;AL;PAO DE ACUCAR;A323;-9.74922;-37.430765;20.83;INMET_NE_AL_A323_PAO DE ACUCAR_01-01-2019_A_31-12-2019.CSV
NE;BA;SALVADOR;A401;-13.005515;-38.50576;47.56;INMET_NE_BA_A401_SALVADOR_01-01-2019_A_31-12-2019.CSV
S;RS;SANTA MARIA;A803;-29.72496;-53.720469;103.1;INMET_S_RS_A803_SANTA MARIA_01-01-2019_A_31-12-2019.CSV
SE;MG;MONTES CLAROS;A506;-16.686316;-43.843763;645.87;INMET_SE_MG_A506_MONTES CLAROS_01-01-2019_A_31-12-2019.CSV
CO;MS;BATAGUASSU;A759;-21.750123;-52.471294;392.13;INMET_CO_MS_A759_BATAGUASSU_01-01-2019_A_31-12-2019.CSV
NE;CE;TAUA;A324;-6.017474;-40.281321;410.87;INMET_NE_CE_A324_TAUA_01-01-2019_A_31-12-2019.CSV
SE;SP;SAO LUIS DO PARAITINGA;A740;-23.22833332;-45.41694443;862.3;INMET_SE_SP_A740_SAO LUIS DO PARAITINGA_01-01-2019_A_31-12-2019.CSV
CO;MS;MIRANDA;A722;-20.39555555;-56.43166666;132.49;INMET_CO_MS_A722_MIRANDA_01-01-2019_A_31-12-2019.CSV
NE;PB;CAMARATUBA;A352;-6.56194444;-35.13527777;135.51;INMET_NE_PB_A352_CAMARATUBA_01-01-2019_A_31-12-2019.CSV
N;RR;BOA VISTA;A135;2.816897;-60.690821;82.35;INMET_N_RR_A135_BOA VISTA_01-01-2019_A_31-12-2019.CSV
CO;MS;JARDIM;A758;-21.478529;-56.137717;252.47;INMET_CO_MS_A758_JARDIM_01-01-2019_A_31-12-2019.CSV
CO;GO;SAO SIMAO;A011;-18.969142;-50.633449;492.45;INMET_CO_GO_A011_SAO SIMAO_01-01-2019_A_31-12-2019.CSV
N;PA;BRAGANCA;A226;-1.047258;-46.78579;41.0;INMET_N_PA_A226_BRAGANCA_01-01-2019_A_31-12-2019.CSV
CO;MS;MARACAJU;A731;-21.609036;-55.177531;388.94;INMET_CO_MS_A731_MARACAJU_01-01-2019_A_31-12-2019.CSV
NE;PI;SAO JOAO DO PIAUI;A331;-8.36444444;-42.2525;231.0;INMET_NE_PI_A331_SAO JOAO DO PIAUI_01-01-2019_A_31-12-2019.CSV
