data;precipitacao_observada;precipitacao_prevista
2023-10-21;0.583;0.009
2023-10-22;0.008;0.15
2023-10-23;0.0;0.201
2023-10-24;0.033;0.186
2023-10-25;0.0;0.112
2023-10-26;0.035;0.052
2023-10-27;1.042;0.035
2023-10-28;0.1;0.065
2023-10-29;0.125;0.333
2023-10-30;0.0;0.379
2023-10-31;0.992;0.268
2023-11-01;0.05;0.387
2023-11-02;0.05;0.317
2023-11-03;0.025;0.312
2023-11-04;0.092;0.21
2023-11-05;0.283;0.15
2023-11-06;0.0;0.259
2023-11-07;0.0;0.18
2023-11-08;0.0;0.15
2023-11-09;0.0;0.039
2023-11-10;0.0;0.019
2023-11-11;0.0;-0.004
2023-11-12;0.0;-0.004
2023-11-13;0.0;-0.004
2023-11-14;0.0;-0.004
2023-11-15;0.0;-0.004
2023-11-16;0.0;-0.004
2023-11-17;0.0;-0.004
2023-11-18;0.05;-0.004
2023-11-19;0.025;0.035
2023-11-20;0.492;0.051
2023-11-21;0.975;0.172
2023-11-22;0.225;0.341
2023-11-23;0.017;0.304
2023-11-24;0.175;0.346
2023-11-25;0.767;0.403
2023-11-26;0.2;0.608
2023-11-27;0.917;0.332
2023-11-28;0.0;0.321
2023-11-29;0.0;0.229
2023-11-30;0.0;0.315
2023-12-01;0.067;0.117
2023-12-02;0.217;0.096
2023-12-03;0.408;0.215
2023-12-04;0.15;0.31
2023-12-05;0.133;0.278
2023-12-06;0.0;0.294
2023-12-07;0.0;0.199
2023-12-08;0.0;0.054
2023-12-09;0.0;0.016
2023-12-10;0.0;0.009
2023-12-11;0.0;-0.004
2023-12-12;0.0;-0.004
2023-12-13;0.025;-0.004
2023-12-14;0.0;0.009
2023-12-15;0.0;0.008
2023-12-16;0.0;-0.002
2023-12-17;0.075;-0.003
2023-12-18;0.092;0.068
2023-12-19;0.283;0.151
2023-12-20;0.15;0.249
2023-12-21;1.05;0.245
2023-12-22;0.342;0.152
2023-12-23;0.167;0.43
2023-12-24;0.475;0.406
2023-12-25;0.158;0.36
2023-12-26;0.408;0.424
2023-12-27;0.0;0.374
2023-12-28;0.025;0.281
2023-12-29;0.0;0.227
2023-12-30;0.117;0.07
2023-12-31;0.9;0.167
2024-01-01;1.483;0.119
2024-01-02;0.967;0.684
2024-01-03;2.033;0.42
2024-01-04;0.317;-0.284
2024-01-05;0.1;0.461
2024-01-06;0.0;0.471
2024-01-07;2.15;0.204
2024-01-08;0.1;0.097
2024-01-09;0.533;0.252
2024-01-10;0.65;0.48
2024-01-11;0.042;0.575
2024-01-12;0.0;0.261
2024-01-13;0.758;0.293
2024-01-14;0.475;0.386
2024-01-15;0.008;0.502
2024-01-16;0.117;0.3
2024-01-17;0.0;0.308
2024-01-18;0.0;0.107
2024-01-19;0.0;0.036
2024-01-20;0.0;0.012
2024-01-21;0.292;0.007
2024-01-22;0.017;0.214
2024-01-23;0.0;0.171
2024-01-24;0.183;0.137
2024-01-25;0.108;0.255
2024-01-26;1.8;0.241
2024-01-27;0.408;0.288
2024-01-28;0.058;0.333
2024-01-29;0.0;0.452
2024-01-30;0.633;0.168
2024-01-31;0.083;0.652
2024-02-01;0.117;0.278
2024-02-02;0.008;0.264
2024-02-03;0.0;0.231
2024-02-04;0.0;0.046
2024-02-05;0.025;0.012
2024-02-06;0.008;0.023
2024-02-07;0.0;0.015
2024-02-08;0.425;0.004
2024-02-09;0.558;0.177
2024-02-10;0.558;0.383
2024-02-11;0.692;0.431
2024-02-12;0.05;0.291
2024-02-13;0.0;0.232
2024-02-14;0.0;0.211
2024-02-15;0.083;0.064
2024-02-16;0.342;0.124
2024-02-17;0.383;0.272
2024-02-18;0.258;0.315
2024-02-19;0.033;0.325
2024-02-20;0.467;0.303
2024-02-21;0.1;0.29
2024-02-22;0.0;0.304
2024-02-23;0.292;0.212
2024-02-24;0.0;0.299
2024-02-25;0.0;0.211
2024-02-26;0.0;0.135
2024-02-27;0.0;0.042
2024-02-28;0.0;0.019
2024-02-29;0.0;-0.004
2024-03-01;0.0;-0.004
2024-03-02;0.017;-0.004
2024-03-03;0.042;0.004
2024-03-04;0.125;0.037
2024-03-05;0.058;0.176
2024-03-06;0.0;0.167
2024-03-07;0.3;0.087
2024-03-08;0.0;0.223
2024-03-09;0.0;0.183
2024-03-10;0.825;0.136
2024-03-11;0.133;0.061
2024-03-12;0.0;0.326
2024-03-13;0.058;0.273
2024-03-14;0.45;0.217
2024-03-15;0.0;0.45
2024-03-16;0.0;0.2
2024-03-17;0.0;0.17
2024-03-18;0.374;0.067
2024-03-19;0.008;0.339
2024-03-20;0.0;0.175
2024-03-21;0.0;0.147
2024-03-22;0.042;0.057
2024-03-23;0.833;0.066
2024-03-24;0.0;0.093
2024-03-25;1.433;0.24
2024-03-26;0.008;0.264
