data;temperatura_observada;temperatura_prevista
2023-10-20;26.742;26.098
2023-10-21;24.116;25.584
2023-10-22;24.134;23.335
2023-10-23;26.231;23.961
2023-10-24;25.138;25.652
2023-10-25;25.122;24.171
2023-10-26;24.1;24.56
2023-10-27;23.747;23.481
2023-10-28;22.834;23.462
2023-10-29;24.934;22.606
2023-10-30;25.933;24.723
2023-10-31;24.578;24.974
2023-11-01;24.293;23.688
2023-11-02;22.783;23.767
2023-11-03;22.625;22.353
2023-11-04;23.042;22.602
2023-11-05;23.352;22.872
2023-11-06;24.862;23.064
2023-11-07;25.502;24.346
2023-11-08;25.167;24.539
2023-11-09;25.764;24.174
2023-11-10;25.677;24.813
2023-11-11;26.944;24.533
2023-11-12;26.611;25.789
2023-11-13;26.23;25.106
2023-11-14;26.281;24.987
2023-11-15;26.91;25.057
2023-11-16;25.876;25.627
2023-11-17;25.688;24.513
2023-11-18;25.436;24.683
2023-11-19;25.944;24.381
2023-11-20;21.606;24.952
2023-11-21;22.62;20.816
2023-11-22;22.752;22.9
2023-11-23;23.398;22.358
2023-11-24;24.426;23.154
2023-11-25;23.997;23.834
2023-11-26;24.641;23.28
2023-11-27;21.972;24.036
2023-11-28;23.973;21.391
2023-11-29;24.31;23.954
2023-11-30;23.855;23.498
2023-12-01;22.821;23.277
2023-12-02;23.258;22.38
2023-12-03;22.109;23.023
2023-12-04;22.062;21.799
2023-12-05;21.599;22.107
2023-12-06;23.179;21.58
2023-12-07;24.873;23.161
2023-12-08;25.602;24.254
2023-12-09;25.474;24.663
2023-12-10;26.804;24.458
2023-12-11;23.599;25.748
2023-12-12;22.864;22.5
2023-12-13;24.798;22.729
2023-12-14;26.121;24.358
2023-12-15;25.986;25.157
2023-12-16;26.105;24.861
2023-12-17;25.1;25.08
2023-12-18;24.283;24.11
2023-12-19;22.957;23.648
2023-12-20;22.564;22.553
2023-12-21;20.489;22.493
2023-12-22;21.878;20.607
2023-12-23;22.208;22.377
2023-12-24;22.589;22.162
2023-12-25;24.137;22.613
2023-12-26;23.596;23.876
2023-12-27;23.87;23.065
2023-12-28;23.105;23.554
2023-12-29;24.167;22.713
2023-12-30;23.04;23.913
2023-12-31;22.262;22.56
2024-01-01;22.756;22.245
2024-01-02;21.799;22.738
2024-01-03;20.847;21.746
2024-01-04;20.968;21.154
2024-01-05;20.659;21.392
2024-01-06;22.562;21.039
2024-01-07;22.169;22.853
2024-01-08;21.58;22.008
2024-01-09;22.005;21.732
2024-01-10;21.234;22.154
2024-01-11;21.945;21.344
2024-01-12;23.368;22.201
2024-01-13;23.149;23.235
2024-01-14;22.107;22.784
2024-01-15;22.238;21.974
2024-01-16;22.983;22.287
2024-01-17;24.395;22.859
2024-01-18;23.932;23.989
2024-01-19;24.041;23.279
2024-01-20;24.276;23.585
2024-01-21;23.427;23.694
