data;temperatura_observada;temperatura_prevista
2023-10-21;69.792;46.738
2023-10-22;68.25;70.192
2023-10-23;51.174;64.133
2023-10-24;58.625;46.771
2023-10-25;59.458;57.249
2023-10-26;68.087;58.851
2023-10-27;74.583;66.089
2023-10-28;84.417;69.644
2023-10-29;72.875;78.681
2023-10-30;63.458;67.304
2023-10-31;66.333;60.775
2023-11-01;73.0;66.407
2023-11-02;75.5;70.839
2023-11-03;80.417;71.851
2023-11-04;82.417;75.753
2023-11-05;80.5;77.604
2023-11-06;70.75;76.356
2023-11-07;63.958;67.635
2023-11-08;55.375;62.841
2023-11-09;37.708;55.572
2023-11-10;40.083;40.204
2023-11-11;35.667;44.079
2023-11-12;42.667;38.303
2023-11-13;51.417;45.125
2023-11-14;43.667;52.706
2023-11-15;43.958;42.294
2023-11-16;48.5;42.086
2023-11-17;55.833;47.503
2023-11-18;68.625;55.209
2023-11-19;63.667;65.9
2023-11-20;82.375;58.09
2023-11-21;85.917;77.701
2023-11-22;81.833;79.431
2023-11-23;74.958;76.381
2023-11-24;72.542;71.03
2023-11-25;73.417;71.083
2023-11-26;70.792;71.577
2023-11-27;80.917;68.94
2023-11-28;71.333;77.132
2023-11-29;69.875;67.228
2023-11-30;70.708;67.558
2023-12-01;75.083;68.921
2023-12-02;76.292;72.444
2023-12-03;81.417;72.704
2023-12-04;80.0;77.25
2023-12-05;83.833;75.717
2023-12-06;75.875;79.524
2023-12-07;56.625;72.265
2023-12-08;47.125;54.694
2023-12-09;53.792;48.426
2023-12-10;51.208;57.114
2023-12-11;67.25;52.384
2023-12-12;76.5;65.677
2023-12-13;68.375;71.547
2023-12-14;49.667;62.641
2023-12-15;36.583;45.794
2023-12-16;40.208;37.668
2023-12-17;52.042;45.149
2023-12-18;62.333;56.089
2023-12-19;70.542;62.044
2023-12-20;79.375;66.838
2023-12-21;90.458;73.112
2023-12-22;84.708;83.68
2023-12-23;83.5;78.484
2023-12-24;77.375;79.309
2023-12-25;76.25;74.69
2023-12-26;75.083;73.707
2023-12-27;74.458;72.845
2023-12-28;79.292;72.217
2023-12-29;74.208;75.949
2023-12-30;79.417;70.847
2023-12-31;80.875;76.21
2024-01-01;82.542;77.206
2024-01-02;91.0;78.271
2024-01-03;93.375;84.912
2024-01-04;94.75;86.521
2024-01-05;92.125;88.042
2024-01-06;84.917;86.385
2024-01-07;82.5;80.854
2024-01-08;88.375;78.804
2024-01-09;83.458;82.974
2024-01-10;90.625;78.932
2024-01-11;85.875;84.556
2024-01-12;74.292;81.281
2024-01-13;80.833;71.615
2024-01-14;85.5;77.908
2024-01-15;83.667;80.372
2024-01-16;77.958;78.822
2024-01-17;66.042;74.358
2024-01-18;70.833;64.007
2024-01-19;71.75;69.998
2024-01-20;65.625;70.026
2024-01-21;73.167;63.218
2024-01-22;82.458;71.058
2024-01-23;81.333;78.078
2024-01-24;87.25;76.162
2024-01-25;84.167;82.189
2024-01-26;91.25;79.555
2024-01-27;85.0;85.019
2024-01-28;87.083;80.66
2024-01-29;81.042;82.07
2024-01-30;80.125;77.784
2024-01-31;85.458;76.671
2024-02-01;80.083;80.825
2024-02-02;76.958;76.456
2024-02-03;74.917;74.401
2024-02-04;71.083;72.963
2024-02-05;81.458;69.507
2024-02-06;83.75;77.636
2024-02-07;78.75;78.947
2024-02-08;83.083;74.42
2024-02-09;85.25;79.461
2024-02-10;91.792;80.45
2024-02-11;95.125;84.995
2024-02-12;81.208;88.073
2024-02-13;64.125;76.698
2024-02-14;61.292;62.445
2024-02-15;75.167;62.288
2024-02-16;83.958;73.197
2024-02-17;85.625;78.307
2024-02-18;83.833;79.401
2024-02-19;86.75;78.621
2024-02-20;94.0;82.179
2024-02-21;91.167;86.954
2024-02-22;83.958;84.906
2024-02-23;86.0;80.033
2024-02-24;78.75;81.742
2024-02-25;73.5;75.462
2024-02-26;66.5;71.41
2024-02-27;64.5;65.396
2024-02-28;66.0;64.364
2024-02-29;64.25;65.399
2024-03-01;74.875;62.39
2024-03-02;79.958;72.219
2024-03-03;85.708;75.083
2024-03-04;85.5;80.149
2024-03-05;81.125;80.058
2024-03-06;78.609;77.114
2024-03-07;78.333;75.982
2024-03-08;69.875;75.443
2024-03-09;76.917;67.833
2024-03-10;81.333;74.423
2024-03-11;85.417;77.325
2024-03-12;81.958;80.087
2024-03-13;81.917;77.269
2024-03-14;86.417;78.367
2024-03-15;77.208;81.527
2024-03-16;73.125;73.922
2024-03-17;82.25;71.233
2024-03-18;82.043;78.645
2024-03-19;77.958;77.563
2024-03-20;79.917;74.273
2024-03-21;81.333;76.958
2024-03-22;81.917;77.502
2024-03-23;92.167;77.842
2024-03-24;85.333;85.626
2024-03-25;86.958;80.317
2024-03-26;85.833;82.24
2024-03-27;86.625;81.453
2024-03-28;88.5;81.366
2024-03-29;83.667;83.028
2024-03-30;81.833;79.507
2024-03-31;81.792;78.318
2024-04-01;80.292;78.109
2024-04-02;91.75;76.71
2024-04-03;87.375;85.286
2024-04-04;88.625;81.994
2024-04-05;83.333;83.341
2024-04-06;84.833;79.779
2024-04-07;83.417;80.219
2024-04-08;75.083;79.248
2024-04-09;72.0;72.606
2024-04-10;83.167;70.558
2024-04-11;92.417;79.071
2024-04-12;92.083;85.077
2024-04-13;78.792;85.565
2024-04-14;73.917;74.033
2024-04-15;74.625;72.444
2024-04-16;77.875;72.675
2024-04-17;74.667;74.521
2024-04-18;71.417;71.664
2024-04-19;74.167;68.719
2024-04-20;73.708;72.235
2024-04-21;75.458;71.336
2024-04-22;78.25;72.564
2024-04-23;74.458;74.816
2024-04-24;79.667;71.068
2024-04-25;71.0;76.451
2024-04-26;69.375;67.69
2024-04-27;66.5;67.643
2024-04-28;69.792;64.914
2024-04-29;67.208;68.621
2024-04-30;65.417;64.525
2024-05-01;63.125;62.946
2024-05-02;65.333;60.854
2024-05-03;67.333;63.674
2024-05-04;58.25;64.859
2024-05-05;65.333;55.488
2024-05-06;72.792;64.039
2024-05-07;73.083;70.177
2024-05-08;68.167;68.795
2024-05-09;70.167;63.983
2024-05-10;68.75;67.769
2024-05-11;62.958;66.432
2024-05-12;61.667;60.635
2024-05-13;67.208;60.035
2024-05-14;64.833;66.15
2024-05-15;57.5;62.058
2024-05-16;56.542;54.925
2024-05-17;60.417;55.07
2024-05-18;58.625;59.814
2024-05-19;66.583;56.813
2024-05-20;71.5;63.954
2024-05-21;68.708;67.434
2024-05-22;63.25;64.335
2024-05-23;68.667;59.777
2024-05-24;70.375;67.157
2024-05-25;65.042;67.959
2024-05-26;55.875;61.781
2024-05-27;61.708;53.485
2024-05-28;63.292;61.684
2024-05-29;72.435;61.995
2024-05-30;72.522;69.204
2024-05-31;64.667;67.825
2024-06-01;66.75;60.628
2024-06-02;69.833;64.798
2024-06-03;73.5;68.255
2024-06-04;69.542;70.534
2024-06-05;67.739;65.696
2024-06-06;71.958;64.979
2024-06-07;70.083;69.979
2024-06-08;67.417;67.31
2024-06-09;65.625;64.609
2024-06-10;65.833;63.316
2024-06-11;70.75;64.069
2024-06-12;59.583;68.665
2024-06-13;60.167;56.439
2024-06-14;61.583;58.746
2024-06-15;70.583;60.249
2024-06-16;62.125;68.606
2024-06-17;58.417;57.862
2024-06-18;52.667;55.944
2024-06-19;63.5;51.065
2024-06-20;66.958;64.21
2024-06-21;64.417;63.794
2024-06-22;55.739;60.433
2024-06-23;57.5;52.104
2024-06-24;61.174;56.575
2024-06-25;53.375;60.31
2024-06-26;53.292;51.627
2024-06-27;57.167;51.814
2024-06-28;57.5;55.665
2024-06-29;53.0;55.792
2024-06-30;50.565;50.481
2024-07-01;47.348;48.814
2024-07-02;49.958;46.551
2024-07-03;64.042;49.827
2024-07-04;59.875;63.041
2024-07-05;58.0;55.632
2024-07-06;59.167;54.39
2024-07-07;51.292;56.177
2024-07-08;49.083;49.973
2024-07-09;50.583;48.672
2024-07-10;49.739;50.2
2024-07-11;47.364;49.172
2024-07-12;52.375;45.933
2024-07-13;54.833;50.965
2024-07-14;53.208;52.29
2024-07-15;55.542;50.475
2024-07-16;55.375;52.623
2024-07-17;53.913;52.696
2024-07-18;50.913;51.806
2024-07-19;53.667;48.947
2024-07-20;53.333;52.397
2024-07-21;52.875;51.447
2024-07-22;49.583;50.986
2024-07-23;47.625;47.496
2024-07-24;46.0;46.553
2024-07-25;49.375;45.194
2024-07-26;48.25;48.857
2024-07-27;56.5;46.415
2024-07-28;56.542;54.683
2024-07-29;51.792;52.904
2024-07-30;46.333;48.983
2024-07-31;43.042;44.354
2024-08-01;57.125;43.047
2024-08-02;64.083;58.779
2024-08-03;60.542;62.003
2024-08-04;55.125;56.021
2024-08-05;52.75;50.926
2024-08-06;54.625;51.122
2024-08-07;43.5;54.401
2024-08-08;49.125;42.666
2024-08-09;46.696;49.478
2024-08-10;57.083;45.434
2024-08-11;55.792;56.651
2024-08-12;32.667;52.062
2024-08-13;26.125;31.735
2024-08-14;37.826;29.09
2024-08-15;54.042;43.386
2024-08-16;47.217;58.485
2024-08-17;42.417;46.969
2024-08-18;36.417;40.059
2024-08-19;29.875;34.988
2024-08-20;32.5;32.183
2024-08-21;31.958;34.987
2024-08-22;30.417;33.96
2024-08-23;34.458;32.553
2024-08-24;36.208;37.477
2024-08-25;43.652;38.223
2024-08-26;62.458;46.872
2024-08-27;50.826;63.918
2024-08-28;49.125;47.737
2024-08-29;53.333;46.426
2024-08-30;47.25;51.343
2024-08-31;39.083;46.803
2024-09-01;28.333;38.726
2024-09-02;26.833;29.658
2024-09-03;26.292;30.784
2024-09-04;24.833;29.538
