data;umidade_observada;umidade_prevista
2023-10-20;44.44;47.836
2023-10-21;65.043;59.916
2023-10-22;65.6;65.101
2023-10-23;49.571;66.583
2023-10-24;57.854;68.717
2023-10-25;60.615;64.129
2023-10-26;66.733;66.487
2023-10-27;70.84;63.828
2023-10-28;79.772;61.221
2023-10-29;65.648;60.034
2023-10-30;58.511;64.185
2023-10-31;63.129;67.155
2023-11-01;66.022;66.292
2023-11-02;74.767;68.631
2023-11-03;78.774;68.618
2023-11-04;77.133;67.504
2023-11-05;76.606;64.863
2023-11-06;68.115;66.226
2023-11-07;61.479;69.304
2023-11-08;54.74;70.971
2023-11-09;35.562;64.797
2023-11-10;34.532;69.457
2023-11-11;35.389;67.686
2023-11-12;39.44;69.07
2023-11-13;50.868;66.372
2023-11-14;45.064;72.207
2023-11-15;47.809;72.677
2023-11-16;51.766;73.373
2023-11-17;57.14;72.537
2023-11-18;64.077;73.313
2023-11-19;59.169;73.821
2023-11-20;81.462;72.65
2023-11-21;79.744;71.865
2023-11-22;77.835;71.454
2023-11-23;72.222;73.559
2023-11-24;70.089;70.6
2023-11-25;70.452;67.76
2023-11-26;66.043;68.976
2023-11-27;79.886;71.161
2023-11-28;68.835;73.166
2023-11-29;65.484;70.354
2023-11-30;68.44;68.68
2023-12-01;73.088;70.659
2023-12-02;72.352;71.488
2023-12-03;78.867;73.384
2023-12-04;78.27;74.714
2023-12-05;80.901;75.655
2023-12-06;71.489;77.889
2023-12-07;54.626;75.556
2023-12-08;44.978;74.589
2023-12-09;50.978;76.043
2023-12-10;50.902;75.648
2023-12-11;70.37;75.175
2023-12-12;74.82;75.004
2023-12-13;64.78;74.546
2023-12-14;48.587;70.86
2023-12-15;37.793;71.576
2023-12-16;38.149;69.539
2023-12-17;47.421;68.573
2023-12-18;58.135;70.535
2023-12-19;71.717;75.027
2023-12-20;78.593;74.479
2023-12-21;88.191;74.564
2023-12-22;80.602;74.742
2023-12-23;78.719;75.715
2023-12-24;75.719;75.327
2023-12-25;72.143;71.734
2023-12-26;72.36;74.653
2023-12-27;70.281;72.019
2023-12-28;74.659;71.866
2023-12-29;72.6;69.163
2023-12-30;79.289;70.838
2023-12-31;79.883;72.18
2024-01-01;77.875;73.03
2024-01-02;85.969;71.624
2024-01-03;90.333;73.241
2024-01-04;90.458;73.31
2024-01-05;89.882;74.405
2024-01-06;80.853;73.053
2024-01-07;79.745;73.488
2024-01-08;86.253;73.548
2024-01-09;81.309;73.614
2024-01-10;86.526;71.601
2024-01-11;81.67;73.204
2024-01-12;73.38;71.447
2024-01-13;78.163;71.395
2024-01-14;82.266;69.824
2024-01-15;79.247;66.749
2024-01-16;74.263;67.535
2024-01-17;64.726;68.037
2024-01-18;68.441;69.392
2024-01-19;69.5;69.362
2024-01-20;66.447;67.045
2024-01-21;74.032;67.275
2024-01-22;81.714;68.848
2024-01-23;82.229;69.836
2024-01-24;86.204;68.464
2024-01-25;84.17;74.231
2024-01-26;86.677;75.465
2024-01-27;80.859;71.971
2024-01-28;84.537;68.341
2024-01-29;80.054;67.282
2024-01-30;78.301;68.835
2024-01-31;83.926;67.862
2024-02-01;79.606;66.404
2024-02-02;74.57;68.783
2024-02-03;74.287;73.484
2024-02-04;71.505;73.741
2024-02-05;79.862;75.813
2024-02-06;82.14;78.681
2024-02-07;77.347;74.919
2024-02-08;82.14;74.883
2024-02-09;81.849;73.841
2024-02-10;88.4;73.446
2024-02-11;90.723;73.949
2024-02-12;76.915;74.511
2024-02-13;62.692;74.758
2024-02-14;61.179;73.512
2024-02-15;68.667;74.345
2024-02-16;78.457;76.738
2024-02-17;82.656;77.509
2024-02-18;83.609;76.287
2024-02-19;85.968;76.381
2024-02-20;91.916;75.407
2024-02-21;89.095;75.539
2024-02-22;82.396;75.245
2024-02-23;83.16;75.791
2024-02-24;76.33;75.614
2024-02-25;72.375;75.629
2024-02-26;64.611;74.699
2024-02-27;62.5;73.234
2024-02-28;63.096;73.014
2024-02-29;64.011;77.912
2024-03-01;74.404;72.886
2024-03-02;79.404;74.116
2024-03-03;83.108;73.348
2024-03-04;85.156;71.14
2024-03-05;79.979;71.555
2024-03-06;79.312;72.64
2024-03-07;75.699;73.414
2024-03-08;70.872;73.577
2024-03-09;75.432;71.782
2024-03-10;81.063;73.203
2024-03-11;78.842;73.27
2024-03-12;78.149;75.041
2024-03-13;81.191;74.576
2024-03-14;83.333;75.216
