data;precipitacao_observada;precipitacao_prevista
2023-10-20;27.804;26.967
2023-10-21;25.234;25.853
2023-10-22;24.759;25.149
2023-10-23;27.017;24.644
2023-10-24;26.274;24.328
2023-10-25;25.896;24.096
2023-10-26;24.747;23.925
2023-10-27;24.632;23.783
2023-10-28;23.534;23.661
2023-10-29;25.751;23.549
2023-10-30;26.75;23.445
2023-10-31;25.915;23.346
2023-11-01;25.166;23.25
2023-11-02;23.579;23.159
2023-11-03;23.282;23.071
2023-11-04;23.683;22.988
2023-11-05;24.123;22.908
2023-11-06;25.469;22.834
2023-11-07;26.221;22.764
2023-11-08;25.952;22.699
2023-11-09;26.611;22.64
2023-11-10;26.677;22.587
2023-11-11;28.016;22.541
2023-11-12;27.762;22.501
2023-11-13;27.414;22.467
2023-11-14;27.322;22.441
2023-11-15;27.944;22.421
2023-11-16;27.262;22.409
2023-11-17;26.642;22.403
2023-11-18;26.195;22.403
2023-11-19;26.834;22.41
2023-11-20;22.281;22.423
2023-11-21;23.382;22.441
2023-11-22;23.643;22.464
2023-11-23;24.151;22.491
2023-11-24;25.186;22.521
2023-11-25;24.827;22.554
2023-11-26;25.405;22.589
2023-11-27;22.886;22.624
2023-11-28;24.77;22.66
2023-11-29;25.055;22.695
2023-11-30;24.753;22.728
2023-12-01;23.48;22.758
2023-12-02;24.098;22.785
2023-12-03;22.862;22.808
2023-12-04;22.676;22.826
2023-12-05;22.381;22.84
2023-12-06;23.797;22.847
2023-12-07;25.64;22.849
2023-12-08;26.694;22.845
2023-12-09;26.502;22.835
2023-12-10;27.563;22.82
2023-12-11;24.465;22.798
2023-12-12;23.654;22.772
2023-12-13;25.575;22.741
2023-12-14;27.046;22.706
2023-12-15;26.888;22.669
2023-12-16;27.003;22.628
2023-12-17;26.292;22.587
2023-12-18;25.505;22.545
2023-12-19;23.76;22.503
2023-12-20;23.307;22.463
2023-12-21;20.88;22.425
2023-12-22;22.559;22.391
2023-12-23;23.001;22.36
2023-12-24;23.078;22.335
2023-12-25;24.844;22.315
2023-12-26;24.578;22.301
2023-12-27;24.685;22.294
2023-12-28;24.101;22.293
2023-12-29;25.028;22.299
2023-12-30;23.913;22.313
2023-12-31;22.859;22.333
2024-01-01;23.481;22.359
2024-01-02;22.379;22.391
2024-01-03;21.142;22.429
2024-01-04;21.29;22.472
2024-01-05;21.058;22.519
2024-01-06;23.186;22.569
2024-01-07;23.161;22.622
2024-01-08;22.136;22.676
2024-01-09;22.572;22.73
2024-01-10;21.767;22.785
2024-01-11;22.615;22.838
2024-01-12;24.191;22.888
2024-01-13;23.788;22.936
2024-01-14;22.952;22.98
2024-01-15;22.971;23.02
2024-01-16;23.941;23.055
2024-01-17;25.229;23.084
2024-01-18;24.988;23.108
2024-01-19;24.94;23.126
2024-01-20;25.046;23.139
2024-01-21;24.503;23.145
2024-01-22;23.334;23.146
2024-01-23;22.959;23.142
2024-01-24;22.649;23.132
2024-01-25;22.989;23.118
2024-01-26;22.111;23.1
2024-01-27;22.782;23.078
2024-01-28;22.631;23.053
2024-01-29;22.989;23.025
2024-01-30;23.824;22.995
2024-01-31;22.473;22.964
2024-02-01;22.457;22.932
2024-02-02;22.952;22.9
2024-02-03;22.696;22.868
2024-02-04;23.094;22.836
2024-02-05;22.769;22.805
2024-02-06;22.17;22.775
2024-02-07;23.632;22.746
2024-02-08;22.881;22.719
2024-02-09;23.51;22.693
2024-02-10;21.549;22.668
2024-02-11;20.255;22.645
2024-02-12;22.712;22.624
2024-02-13;24.843;22.603
2024-02-14;25.117;22.584
2024-02-15;24.384;22.565
2024-02-16;23.286;22.548
2024-02-17;22.659;22.531
2024-02-18;22.81;22.515
2024-02-19;21.955;22.499
2024-02-20;20.922;22.484
2024-02-21;21.461;22.469
2024-02-22;22.66;22.455
2024-02-23;22.578;22.442
2024-02-24;23.698;22.43
2024-02-25;24.223;22.418
2024-02-26;23.882;22.408
2024-02-27;23.831;22.399
2024-02-28;24.99;22.392
2024-02-29;25.922;22.387
2024-03-01;25.039;22.384
2024-03-02;23.935;22.383
2024-03-03;22.477;22.386
2024-03-04;21.654;22.391
2024-03-05;22.633;22.399
2024-03-06;23.287;22.41
2024-03-07;23.82;22.425
2024-03-08;25.005;22.443
2024-03-09;24.492;22.463
2024-03-10;23.515;22.487
2024-03-11;24.481;22.514
2024-03-12;24.82;22.543
2024-03-13;24.495;22.574
2024-03-14;23.247;22.607
2024-03-15;25.119;22.641
2024-03-16;25.533;22.675
2024-03-17;23.832;22.71
2024-03-18;24.68;22.744
2024-03-19;24.723;22.776
2024-03-20;23.922;22.807
2024-03-21;23.766;22.835
2024-03-22;23.709;22.861
2024-03-23;21.786;22.883
2024-03-24;22.588;22.901
2024-03-25;22.475;22.915
2024-03-26;22.589;22.924
2024-03-27;22.139;22.928
2024-03-28;22.044;22.928
2024-03-29;23.234;22.922
2024-03-30;23.698;22.912
2024-03-31;23.755;22.897
2024-04-01;24.219;22.877
2024-04-02;22.602;22.853
2024-04-03;23.036;22.825
2024-04-04;22.537;22.794
2024-04-05;23.588;22.76
2024-04-06;23.001;22.723
2024-04-07;22.882;22.685
2024-04-08;23.527;22.644
2024-04-09;24.287;22.603
2024-04-10;23.493;22.562
2024-04-11;22.075;22.52
2024-04-12;22.215;22.479
2024-04-13;23.433;22.438
2024-04-14;23.381;22.398
2024-04-15;23.324;22.359
2024-04-16;23.795;22.321
2024-04-17;24.536;22.284
2024-04-18;24.727;22.248
2024-04-19;23.99;22.213
2024-04-20;24.075;22.179
2024-04-21;22.79;22.145
2024-04-22;22.836;22.111
2024-04-23;24.206;22.076
2024-04-24;24.023;22.041
2024-04-25;24.342;22.005
2024-04-26;23.843;21.968
2024-04-27;23.612;21.929
2024-04-28;23.858;21.888
2024-04-29;24.424;21.845
2024-04-30;24.218;21.8
2024-05-01;24.421;21.752
2024-05-02;23.895;21.702
2024-05-03;24.376;21.65
2024-05-04;23.722;21.596
2024-05-05;22.682;21.54
2024-05-06;22.617;21.483
2024-05-07;22.267;21.425
2024-05-08;21.939;21.366
2024-05-09;22.528;21.308
2024-05-10;21.185;21.251
2024-05-11;21.738;21.195
2024-05-12;22.18;21.142
2024-05-13;22.758;21.091
2024-05-14;23.53;21.044
2024-05-15;23.37;21.0
2024-05-16;22.762;20.962
2024-05-17;21.601;20.928
2024-05-18;21.31;20.9
2024-05-19;22.072;20.877
2024-05-20;22.361;20.86
2024-05-21;22.99;20.849
2024-05-22;21.748;20.843
2024-05-23;21.854;20.842
2024-05-24;22.628;20.846
2024-05-25;22.273;20.854
2024-05-26;22.016;20.866
2024-05-27;21.703;20.881
2024-05-28;21.855;20.898
2024-05-29;21.018;20.915
2024-05-30;20.745;20.933
2024-05-31;20.831;20.951
2024-06-01;20.463;20.966
2024-06-02;19.807;20.978
2024-06-03;20.485;20.987
2024-06-04;20.91;20.992
2024-06-05;20.638;20.991
2024-06-06;20.396;20.984
2024-06-07;21.152;20.971
2024-06-08;21.37;20.952
2024-06-09;21.364;20.925
2024-06-10;20.802;20.892
2024-06-11;21.45;20.852
2024-06-12;21.071;20.805
2024-06-13;20.299;20.752
2024-06-14;21.465;20.694
2024-06-15;20.642;20.631
2024-06-16;19.797;20.565
2024-06-17;19.217;20.495
2024-06-18;20.568;20.424
2024-06-19;20.147;20.351
2024-06-20;21.38;20.279
2024-06-21;20.581;20.209
2024-06-22;20.708;20.141
2024-06-23;20.639;20.077
2024-06-24;21.156;20.018
2024-06-25;21.889;19.964
2024-06-26;21.093;19.917
2024-06-27;20.333;19.877
2024-06-28;20.71;19.844
2024-06-29;20.433;19.82
2024-06-30;20.746;19.804
2024-07-01;21.533;19.796
2024-07-02;21.571;19.797
2024-07-03;20.4;19.806
2024-07-04;20.739;19.823
2024-07-05;20.703;19.847
2024-07-06;21.21;19.878
2024-07-07;22.169;19.915
2024-07-08;21.091;19.957
2024-07-09;21.592;20.003
2024-07-10;21.898;20.054
2024-07-11;22.273;20.107
2024-07-12;22.386;20.161
2024-07-13;19.672;20.217
2024-07-14;18.604;20.274
2024-07-15;19.273;20.33
2024-07-16;20.22;20.385
2024-07-17;20.372;20.438
2024-07-18;20.238;20.49
2024-07-19;19.973;20.54
2024-07-20;19.54;20.588
2024-07-21;19.533;20.634
2024-07-22;19.648;20.678
2024-07-23;19.936;20.721
2024-07-24;20.103;20.762
2024-07-25;20.061;20.802
2024-07-26;20.185;20.842
2024-07-27;20.46;20.882
2024-07-28;21.726;20.923
2024-07-29;22.696;20.966
2024-07-30;23.736;21.012
2024-07-31;22.849;21.06
2024-08-01;20.934;21.111
2024-08-02;20.419;21.167
2024-08-03;20.776;21.227
