data;temperatura_minima_observada;temperatura_minima_prevista
2023-10-20;25.822;25.063
2023-10-21;23.191;24.721
2023-10-22;23.363;22.484
2023-10-23;25.36;23.237
2023-10-24;24.048;24.731
2023-10-25;24.316;23.147
2023-10-26;23.401;23.831
2023-10-27;23.016;22.774
2023-10-28;22.201;22.733
2023-10-29;24.149;21.978
2023-10-30;25.004;23.883
2023-10-31;23.478;24.049
2023-11-01;23.442;22.685
2023-11-02;22.078;23.015
2023-11-03;21.971;21.676
2023-11-04;22.31;21.952
2023-11-05;22.648;22.121
2023-11-06;24.059;22.361
2023-11-07;24.819;23.514
2023-11-08;24.473;23.845
2023-11-09;24.894;23.456
2023-11-10;24.665;23.942
2023-11-11;25.807;23.581
2023-11-12;25.514;24.717
2023-11-13;25.045;24.115
2023-11-14;25.174;23.907
2023-11-15;25.928;24.066
2023-11-16;24.795;24.699
2023-11-17;24.825;23.511
2023-11-18;24.671;23.906
2023-11-19;25.043;23.619
2023-11-20;21.106;24.057
2023-11-21;21.919;20.412
2023-11-22;22.014;22.15
2023-11-23;22.481;21.638
2023-11-24;23.677;22.256
2023-11-25;23.045;23.117
2023-11-26;23.839;22.345
2023-11-27;21.309;23.295
2023-11-28;23.193;20.768
2023-11-29;23.478;23.135
2023-11-30;22.992;22.676
2023-12-01;22.215;22.461
2023-12-02;22.427;21.812
2023-12-03;21.393;22.172
2023-12-04;21.465;21.149
2023-12-05;20.849;21.5
2023-12-06;22.391;20.832
2023-12-07;23.974;22.381
2023-12-08;24.569;23.345
2023-12-09;24.447;23.674
2023-12-10;25.992;23.513
2023-12-11;23.002;24.955
2023-12-12;22.131;21.931
2023-12-13;23.912;22.005
2023-12-14;25.291;23.466
2023-12-15;24.947;24.324
2023-12-16;25.133;23.85
2023-12-17;24.141;24.187
2023-12-18;23.153;23.209
2023-12-19;22.228;22.618
2023-12-20;21.974;21.926
2023-12-21;20.18;21.872
2023-12-22;21.236;20.278
2023-12-23;21.472;21.635
2023-12-24;21.993;21.429
2023-12-25;23.385;21.997
2023-12-26;22.747;23.063
2023-12-27;23.034;22.242
2023-12-28;22.175;22.748
2023-12-29;23.29;21.828
2023-12-30;22.334;23.075
2023-12-31;21.645;21.875
2024-01-01;22.112;21.626
2024-01-02;21.265;22.056
2024-01-03;20.561;21.193
2024-01-04;20.659;20.81
2024-01-05;20.291;20.961
2024-01-06;22.024;20.582
2024-01-07;21.356;22.208
2024-01-08;21.114;21.18
2024-01-09;21.497;21.284
2024-01-10;20.813;21.548
2024-01-11;21.31;20.882
2024-01-12;22.405;21.494
2024-01-13;22.572;22.271
2024-01-14;21.391;22.235
2024-01-15;21.499;21.225
