time;latitude;longitude;t2m
2023-10-20 00:00:00;-15.765765;312.12;28.045868
2023-10-20 06:00:00;-15.765765;312.12;24.06369
2023-10-20 12:00:00;-15.765765;312.12;23.186768
2023-10-20 18:00:00;-15.765765;312.12;26.789398
2023-10-21 00:00:00;-15.765765;312.12;24.661163
2023-10-21 06:00:00;-15.765765;312.12;20.837616
2023-10-21 12:00:00;-15.765765;312.12;19.716766
2023-10-21 18:00:00;-15.765765;312.12;24.125336
2023-10-22 00:00:00;-15.765765;312.12;22.38382
2023-10-22 06:00:00;-15.765765;312.12;17.425323
2023-10-22 12:00:00;-15.765765;312.12;20.532928
2023-10-22 18:00:00;-15.765765;312.12;25.090546
2023-10-23 00:00:00;-15.765765;312.12;25.905273
2023-10-23 06:00:00;-15.765765;312.12;19.337738
2023-10-23 12:00:00;-15.765765;312.12;20.395844
2023-10-23 18:00:00;-15.765765;312.12;23.925507
2023-10-24 00:00:00;-15.765765;312.12;26.740204
2023-10-24 06:00:00;-15.765765;312.12;31.029144
2023-10-24 12:00:00;-15.765765;312.12;24.398132
2023-10-24 18:00:00;-15.765765;312.12;27.819275
2023-10-25 00:00:00;-15.765765;312.12;26.160706
2023-10-25 06:00:00;-15.765765;312.12;19.274994
2023-10-25 12:00:00;-15.765765;312.12;23.35907
2023-10-25 18:00:00;-15.765765;312.12;28.002594
2023-10-26 00:00:00;-15.765765;312.12;24.441498
2023-10-26 06:00:00;-15.765765;312.12;20.6091
2023-10-26 12:00:00;-15.765765;312.12;23.855316
2023-10-26 18:00:00;-15.765765;312.12;24.186615
2023-10-27 00:00:00;-15.765765;312.12;21.337463
2023-10-27 06:00:00;-15.765765;312.12;17.825775
2023-10-27 12:00:00;-15.765765;312.12;23.012451
2023-10-27 18:00:00;-15.765765;312.12;25.898346
2023-10-28 00:00:00;-15.765765;312.12;21.19873
2023-10-28 06:00:00;-15.765765;312.12;20.999695
2023-10-28 12:00:00;-15.765765;312.12;20.720978
2023-10-28 18:00:00;-15.765765;312.12;25.425629
2023-10-29 00:00:00;-15.765765;312.12;22.802582
2023-10-29 06:00:00;-15.765765;312.12;21.990143
2023-10-29 12:00:00;-15.765765;312.12;23.512726
2023-10-29 18:00:00;-15.765765;312.12;29.488861
2023-10-30 00:00:00;-15.765765;312.12;28.834595
2023-10-30 06:00:00;-15.765765;312.12;26.49588
2023-10-30 12:00:00;-15.765765;312.12;26.322235
