data;temperatura_minima_observada;temperatura_minima_prevista
2024-04-22;21.383;19.755
2024-04-23;22.734;19.496
2024-04-24;22.562;20.069
2024-04-25;22.786;20.959
2024-04-26;22.244;20.819
2024-04-27;22.146;20.585
2024-04-28;22.022;20.57
2024-04-29;22.759;20.324
2024-04-30;22.644;19.967
2024-05-01;22.831;19.787
2024-05-02;22.242;19.874
2024-05-03;22.594;19.678
2024-05-04;22.249;20.082
2024-05-05;21.252;20.232
2024-05-06;21.269;20.162
2024-05-07;20.781;20.013
2024-05-08;20.339;20.299
2024-05-09;20.978;19.79
2024-05-10;19.377;19.815
2024-05-11;19.802;19.692
2024-05-12;20.269;19.828
2024-05-13;21.005;19.904
2024-05-14;21.828;19.726
2024-05-15;21.789;19.857
2024-05-16;20.981;19.036
2024-05-17;19.892;18.503
2024-05-18;19.536;18.113
2024-05-19;20.307;17.715
2024-05-20;20.61;18.092
2024-05-21;21.444;18.766
2024-05-22;20.285;19.231
2024-05-23;20.121;19.448
2024-05-24;20.91;19.419
2024-05-25;20.579;19.047
2024-05-26;20.329;19.12
2024-05-27;20.032;19.234
2024-05-28;20.018;19.439
2024-05-29;19.416;19.38
2024-05-30;19.085;19.219
2024-05-31;19.08;19.28
2024-06-01;19.023;19.104
2024-06-02;18.383;19.623
2024-06-03;19.025;19.674
2024-06-04;19.416;19.188
2024-06-05;19.057;18.94
2024-06-06;18.797;18.976
2024-06-07;19.517;18.771
2024-06-08;20.004;18.868
2024-06-09;19.914;19.238
2024-06-10;19.084;19.229
2024-06-11;19.557;18.906
2024-06-12;19.485;18.93
2024-06-13;18.67;19.011
2024-06-14;19.906;19.54
2024-06-15;19.074;18.559
2024-06-16;17.973;18.111
2024-06-17;17.262;17.549
2024-06-18;18.933;17.819
2024-06-19;17.959;18.389
2024-06-20;19.727;19.123
2024-06-21;18.861;18.617
2024-06-22;19.095;18.126
2024-06-23;18.934;18.255
2024-06-24;19.311;18.489
2024-06-25;19.912;18.442
2024-06-26;19.069;18.176
2024-06-27;18.298;18.302
2024-06-28;18.627;18.158
2024-06-29;18.432;17.261
2024-06-30;18.62;16.921
2024-07-01;19.235;17.868
2024-07-02;19.764;18.115
2024-07-03;18.784;18.178
2024-07-04;18.976;17.904
2024-07-05;18.995;18.027
2024-07-06;19.496;17.694
2024-07-07;20.412;17.223
2024-07-08;19.069;17.87
2024-07-09;19.404;17.938
2024-07-10;19.831;17.944
2024-07-11;20.431;17.993
2024-07-12;20.64;18.687
2024-07-13;18.054;18.7
2024-07-14;16.801;18.355
2024-07-15;17.611;18.443
2024-07-16;18.597;19.022
2024-07-17;18.637;19.022
2024-07-18;18.522;18.837
2024-07-19;18.037;18.594
2024-07-20;17.804;17.744
2024-07-21;17.868;18.022
2024-07-22;17.936;18.495
2024-07-23;18.197;18.173
2024-07-24;18.367;18.236
2024-07-25;18.294;18.452
2024-07-26;18.245;18.391
2024-07-27;18.475;18.386
2024-07-28;19.848;18.958
2024-07-29;20.764;18.581
2024-07-30;21.955;18.985
2024-07-31;21.328;19.349
2024-08-01;19.529;19.514
2024-08-02;19.012;19.251
2024-08-03;19.204;19.305
2024-08-04;19.7;18.96
2024-08-05;19.637;18.801
2024-08-06;19.58;18.734
2024-08-07;19.166;18.838
2024-08-08;18.973;19.248
2024-08-09;19.907;19.763
2024-08-10;17.734;20.304
2024-08-11;18.142;20.132
2024-08-12;18.606;20.623
2024-08-13;18.093;20.825
2024-08-14;20.754;20.673
2024-08-15;22.534;20.526
2024-08-16;22.805;20.451
2024-08-17;22.323;21.084
2024-08-18;20.618;21.5
2024-08-19;21.371;21.42
2024-08-20;21.668;21.192
2024-08-21;21.063;20.734
2024-08-22;22.836;20.958
2024-08-23;23.069;21.074
2024-08-24;23.093;21.494
2024-08-25;21.162;21.943
2024-08-26;19.495;21.382
2024-08-27;20.991;21.492
2024-08-28;22.136;21.407
2024-08-29;20.829;21.823
2024-08-30;20.751;21.878
2024-08-31;21.534;22.001
2024-09-01;21.948;21.855
2024-09-02;22.839;21.683
2024-09-03;21.864;22.291
2024-09-04;22.593;22.246
2024-09-05;23.827;22.358
2024-09-06;25.249;22.749
2024-09-07;23.235;22.599
2024-09-08;21.818;22.867
2024-09-09;21.899;23.102
2024-09-10;22.053;22.651
2024-09-11;22.559;22.401
2024-09-12;23.5;22.855
2024-09-13;23.801;22.924
2024-09-14;24.086;22.735
2024-09-15;24.189;23.026
2024-09-16;24.503;23.222
2024-09-17;24.365;23.521
2024-09-18;25.464;22.884
2024-09-19;24.745;22.778
2024-09-20;23.598;23.711
2024-09-21;24.604;23.836
2024-09-22;25.737;23.234
2024-09-23;26.075;23.275
2024-09-24;26.234;23.43
2024-09-25;26.411;23.639
2024-09-26;25.689;23.024
2024-09-27;25.171;23.365
2024-09-28;25.182;23.547
2024-09-29;24.589;23.677
2024-09-30;24.406;23.73
2024-10-01;24.433;24.15
2024-10-02;24.584;22.763
2024-10-03;25.823;23.05
2024-10-04;28.122;23.73
2024-10-05;26.885;23.898
2024-10-06;27.055;23.702
2024-10-07;24.968;23.564
2024-10-08;24.642;23.858
2024-10-09;25.078;23.945
2024-10-10;22.035;23.8
2024-10-11;22.961;23.118
2024-10-12;22.295;23.791
2024-10-13;24.041;23.008
2024-10-14;24.044;23.025
2024-10-15;21.164;23.702
2024-10-16;20.868;23.779
2024-10-17;19.487;24.012
2024-10-18;20.532;23.613
2024-10-19;20.202;22.658
2024-10-20;20.795;22.92
2024-10-21;21.715;21.82
2024-10-22;21.318;21.477
2024-10-23;21.807;21.032
2024-10-24;22.962;20.958
2024-10-25;21.675;22.003
2024-10-26;23.464;21.37
2024-10-27;22.748;22.302
2024-10-28;23.391;22.607
2024-10-29;22.1;22.836
2024-10-30;20.93;22.543
2024-10-31;19.947;21.106
2024-11-01;20.453;20.902
2024-11-02;21.178;20.755
2024-11-03;21.662;20.219
2024-11-04;23.104;19.974
2024-11-05;19.675;21.17
2024-11-06;21.507;22.166
2024-11-07;21.01;21.38
2024-11-08;19.781;21.406
2024-11-09;20.217;22.227
2024-11-10;21.845;21.523
2024-11-11;20.827;21.355
2024-11-12;21.755;20.952
2024-11-13;20.934;21.317
2024-11-14;20.104;21.113
2024-11-15;19.405;20.54
2024-11-16;21.236;20.427
2024-11-17;20.116;20.888
2024-11-18;21.903;20.761
2024-11-19;22.541;20.269
2024-11-20;23.206;20.07
2024-11-21;22.819;20.632
2024-11-22;20.909;21.289
2024-11-23;20.9;20.657
2024-11-24;20.764;21.026
2024-11-25;21.258;20.787
2024-11-26;21.902;21.411
2024-11-27;22.282;21.479
2024-11-28;22.474;21.322
2024-11-29;22.209;20.848
2024-11-30;23.275;20.55
2024-12-01;22.48;21.203
2024-12-02;21.544;21.511
2024-12-03;22.367;21.182
2024-12-04;22.247;21.069
2024-12-05;21.96;20.716
2024-12-06;23.357;20.577
2024-12-07;23.702;20.941
2024-12-08;23.371;20.835
2024-12-09;22.496;20.578
2024-12-10;22.787;20.329
2024-12-11;22.322;20.706
2024-12-12;21.557;20.816
2024-12-13;22.401;21.304
2024-12-14;21.904;21.521
2024-12-15;20.533;21.637
2024-12-16;21.569;21.67
2024-12-17;20.888;21.513
2024-12-18;21.536;21.42
2024-12-19;21.923;20.893
2024-12-20;22.097;21.011
2024-12-21;21.688;20.921
2024-12-22;20.576;21.21
2024-12-23;21.175;20.869
2024-12-24;20.894;19.94
2024-12-25;20.985;20.47
2024-12-26;20.77;20.286
2024-12-27;21.105;20.933
2024-12-28;22.153;21.51
2024-12-29;21.156;22.026
2024-12-30;20.795;21.424
2024-12-31;20.661;20.545
