data;precipitacao_observada;precipitacao_prevista
2023-10-20;894.492;894.134
2023-10-21;894.403;894.167
2023-10-22;894.242;894.187
2023-10-23;894.074;894.129
2023-10-24;893.073;894.048
2023-10-25;891.859;893.977
2023-10-26;891.334;893.912
2023-10-27;891.71;893.842
2023-10-28;892.79;893.768
2023-10-29;892.664;893.692
2023-10-30;892.456;893.617
2023-10-31;892.133;893.542
2023-11-01;891.874;893.47
2023-11-02;892.256;893.4
2023-11-03;892.743;893.334
2023-11-04;892.657;893.273
2023-11-05;892.671;893.217
2023-11-06;893.822;893.167
2023-11-07;894.629;893.123
2023-11-08;895.361;893.086
2023-11-09;894.842;893.057
2023-11-10;894.362;893.034
2023-11-11;893.126;893.018
2023-11-12;892.854;893.009
2023-11-13;892.677;893.006
2023-11-14;892.597;893.008
2023-11-15;891.968;893.016
2023-11-16;891.827;893.028
2023-11-17;891.79;893.044
2023-11-18;893.286;893.062
2023-11-19;893.336;893.083
2023-11-20;893.263;893.104
2023-11-21;892.732;893.125
2023-11-22;892.765;893.146
2023-11-23;893.976;893.164
2023-11-24;895.686;893.181
2023-11-25;894.89;893.194
2023-11-26;893.591;893.204
2023-11-27;896.045;893.21
2023-11-28;895.241;893.211
2023-11-29;893.795;893.207
2023-11-30;893.756;893.198
2023-12-01;894.37;893.185
2023-12-02;893.311;893.166
2023-12-03;893.097;893.143
2023-12-04;894.654;893.115
2023-12-05;895.651;893.084
2023-12-06;895.053;893.049
2023-12-07;893.935;893.012
2023-12-08;894.329;892.973
2023-12-09;892.941;892.932
2023-12-10;892.03;892.891
2023-12-11;892.434;892.851
2023-12-12;894.679;892.812
2023-12-13;893.134;892.775
2023-12-14;892.227;892.742
2023-12-15;892.989;892.712
2023-12-16;893.548;892.687
2023-12-17;892.64;892.668
2023-12-18;890.976;892.655
2023-12-19;890.339;892.649
2023-12-20;890.541;892.65
2023-12-21;893.399;892.659
2023-12-22;895.328;892.676
2023-12-23;895.447;892.702
2023-12-24;895.449;892.736
2023-12-25;894.896;892.777
2023-12-26;895.473;892.828
2023-12-27;894.94;892.885
2023-12-28;894.254;892.951
2023-12-29;893.897;893.023
2023-12-30;894.563;893.101
2023-12-31;894.085;893.184
2024-01-01;893.113;893.272
2024-01-02;891.928;893.364
2024-01-03;891.927;893.458
2024-01-04;892.575;893.554
2024-01-05;893.179;893.65
2024-01-06;892.974;893.745
2024-01-07;893.022;893.839
2024-01-08;893.244;893.93
2024-01-09;894.346;894.016
2024-01-10;894.671;894.098
2024-01-11;894.656;894.174
2024-01-12;893.079;894.244
2024-01-13;893.727;894.305
2024-01-14;895.632;894.359
2024-01-15;896.5;894.404
2024-01-16;895.848;894.44
