data;precipitacao_observada;precipitacao_prevista
2023-10-20;27.804;25.086
2023-10-21;25.234;23.563
2023-10-22;24.759;23.008
2023-10-23;27.017;22.469
2023-10-24;26.274;22.366
2023-10-25;25.896;23.562
2023-10-26;24.747;22.844
2023-10-27;24.632;23.9
2023-10-28;23.534;24.263
2023-10-29;25.751;24.545
2023-10-30;26.75;24.198
2023-10-31;25.915;22.576
2023-11-01;25.166;22.394
2023-11-02;23.579;22.162
2023-11-03;23.282;21.579
2023-11-04;23.683;21.278
2023-11-05;24.123;22.662
2023-11-06;25.469;23.771
2023-11-07;26.221;22.846
2023-11-08;25.952;22.853
2023-11-09;26.611;23.818
2023-11-10;26.677;23.011
2023-11-11;28.016;22.891
2023-11-12;27.762;22.413
2023-11-13;27.414;22.821
2023-11-14;27.322;22.528
2023-11-15;27.944;21.884
2023-11-16;27.262;21.738
2023-11-17;26.642;22.283
2023-11-18;26.195;22.148
2023-11-19;26.834;21.629
2023-11-20;22.281;21.397
2023-11-21;23.382;21.959
2023-11-22;23.643;22.695
2023-11-23;24.151;22.01
2023-11-24;25.186;22.436
2023-11-25;24.827;22.212
2023-11-26;25.405;22.917
2023-11-27;22.886;22.999
2023-11-28;24.77;22.804
2023-11-29;25.055;22.325
2023-11-30;24.753;21.968
2023-12-01;23.48;22.711
2023-12-02;24.098;23.027
2023-12-03;22.862;22.627
2023-12-04;22.676;22.422
2023-12-05;22.381;22.031
2023-12-06;23.797;21.923
2023-12-07;25.64;22.332
2023-12-08;26.694;22.224
2023-12-09;26.502;21.88
2023-12-10;27.563;21.683
2023-12-11;24.465;22.062
2023-12-12;23.654;22.196
2023-12-13;25.575;22.744
2023-12-14;27.046;23.05
2023-12-15;26.888;23.141
2023-12-16;27.003;23.208
2023-12-17;26.292;23.054
2023-12-18;25.505;22.903
2023-12-19;23.76;22.311
2023-12-20;23.307;22.42
2023-12-21;20.88;22.317
2023-12-22;22.559;22.677
2023-12-23;23.001;22.283
2023-12-24;23.078;21.171
2023-12-25;24.844;21.754
2023-12-26;24.578;21.559
2023-12-27;24.685;22.284
2023-12-28;24.101;22.981
2023-12-29;25.028;23.618
2023-12-30;23.913;22.913
2023-12-31;22.859;21.947
2024-01-01;23.481;21.666
2024-01-02;22.379;22.673
2024-01-03;21.142;22.546
2024-01-04;21.29;21.852
2024-01-05;21.058;21.669
2024-01-06;23.186;22.135
2024-01-07;23.161;22.335
2024-01-08;22.136;22.18
2024-01-09;22.572;21.592
2024-01-10;21.767;22.017
2024-01-11;22.615;21.969
2024-01-12;24.191;21.947
2024-01-13;23.788;22.474
2024-01-14;22.952;23.074
2024-01-15;22.971;23.569
2024-01-16;23.941;23.492
2024-01-17;25.229;23.699
2024-01-18;24.988;23.212
2024-01-19;24.94;23.445
2024-01-20;25.046;23.314
2024-01-21;24.503;23.145
2024-01-22;23.334;23.205
2024-01-23;22.959;23.51
2024-01-24;22.649;23.673
2024-01-25;22.989;22.459
2024-01-26;22.111;20.918
2024-01-27;22.782;21.496
2024-01-28;22.631;22.327
2024-01-29;22.989;23.018
2024-01-30;23.824;23.531
2024-01-31;22.473;23.624
2024-02-01;22.457;23.697
2024-02-02;22.952;24.194
2024-02-03;22.696;23.306
2024-02-04;23.094;22.711
2024-02-05;22.769;22.683
2024-02-06;22.17;20.829
2024-02-07;23.632;21.135
2024-02-08;22.881;21.571
2024-02-09;23.51;21.678
2024-02-10;21.549;21.969
2024-02-11;20.255;22.618
2024-02-12;22.712;22.453
2024-02-13;24.843;22.231
2024-02-14;25.117;23.207
2024-02-15;24.384;23.091
2024-02-16;23.286;22.721
2024-02-17;22.659;21.873
2024-02-18;22.81;21.59
2024-02-19;21.955;22.056
2024-02-20;20.922;21.949
2024-02-21;21.461;21.761
2024-02-22;22.66;22.241
2024-02-23;22.578;22.057
2024-02-24;23.698;21.864
2024-02-25;24.223;22.508
2024-02-26;23.882;22.492
2024-02-27;23.831;22.926
2024-02-28;24.99;22.599
2024-02-29;25.922;20.327
2024-03-01;25.039;22.271
2024-03-02;23.935;21.997
2024-03-03;22.477;21.846
2024-03-04;21.654;22.231
2024-03-05;22.633;22.73
2024-03-06;23.287;22.341
2024-03-07;23.82;22.031
2024-03-08;25.005;22.202
2024-03-09;24.492;22.877
2024-03-10;23.515;22.884
2024-03-11;24.481;22.583
2024-03-12;24.82;22.188
2024-03-13;24.495;22.442
2024-03-14;23.247;22.3
2024-03-15;25.119;22.28
2024-03-16;25.533;22.265
2024-03-17;23.832;21.947
2024-03-18;24.68;22.597
2024-03-19;24.723;22.609
2024-03-20;23.922;22.458
2024-03-21;23.766;22.268
